Date,EUROPE & MIDDLE EAST IMI VALUE
2010-05-26,1000.0
2010-05-27,1032.1140477633617
2010-05-28,1028.1648427784316
2010-05-31,1030.4138097159746
2010-06-01,1027.5197978900637
2010-06-02,1026.9609367503674
2010-06-03,1041.401290576728
2010-06-04,1020.5264467287303
2010-06-07,1011.5218676281595
2010-06-08,998.2975821567929
2010-06-09,1014.0181697642165
2010-06-10,1028.908789110777
2010-06-11,1039.320429140809
2010-06-14,1050.7798741285737
2010-06-15,1058.9444047492946
2010-06-16,1058.8546823607069
2010-06-17,1061.861769319725
2010-06-18,1065.8662110172265
2010-06-21,1075.087172676265
2010-06-22,1067.9608099940906
2010-06-23,1057.39816842153
2010-06-24,1036.2236870254899
2010-06-25,1029.60713654661
2010-06-28,1041.7944314737172
2010-06-29,1008.3503470490136
2010-06-30,1009.6676010145917
2010-07-01,986.7192358795783
2010-07-02,987.0319303087157
2010-07-05,984.5280214385222
2010-07-06,1010.012810825239
2010-07-07,1027.4535190843847
2010-07-08,1039.898058811233
2010-07-09,1045.9292041819806
2010-07-12,1052.357719242903
2010-07-13,1072.9050612673147
2010-07-14,1072.0214457833843
2010-07-15,1058.9631620771593
2010-07-16,1038.9148903672403
2010-07-19,1031.3044581423783
2010-07-20,1030.791670203494
2010-07-21,1041.9870774252886
2010-07-22,1065.4136107485747
2010-07-23,1070.0251617224803
2010-07-26,1077.8383123814301
2010-07-27,1088.6830502826247
2010-07-28,1084.6383107279669
2010-07-29,1085.0311799062877
2010-07-30,1079.3897335954616
2010-08-02,1111.4566429007596
2010-08-03,1111.2853304016373
2010-08-04,1113.5714652838
2010-08-05,1112.6660816938945
2010-08-06,1100.6055070274294
2010-08-09,1116.5364419575117
2010-08-10,1105.05050388632
2010-08-11,1080.9188513444917
2010-08-12,1078.766647026507
2010-08-13,1079.1464139046416
2010-08-16,1076.1598573219278
2010-08-17,1089.1457386727423
2010-08-18,1084.704880342729
2010-08-19,1066.8734754958439
2010-08-20,1058.0868414791469
2010-08-23,1066.4693056642354
2010-08-24,1046.4928629447882
2010-08-25,1038.0427979580184
2010-08-26,1046.2141422460813
2010-08-27,1054.0792417458708
2010-08-30,1052.827958864059
2010-08-31,1053.1767186004845
2010-09-01,1081.457464985968
2010-09-02,1082.0387058475555
2010-09-03,1092.7281731827927
2010-09-06,1096.7514779433443
2010-09-07,1090.0168297912019
2010-09-08,1100.4342801657297
2010-09-09,1111.052174287474
2010-09-10,1110.4797820111555
2010-09-13,1119.6858904243663
2010-09-14,1118.4294567649683
2010-09-15,1114.9747664653169
2010-09-16,1108.1218033474743
2010-09-17,1101.7882438170514
2010-09-20,1116.3153847747503
2010-09-21,1112.251570747288
2010-09-22,1094.521377906277
2010-09-23,1092.3226998905213
2010-09-24,1104.66383790669
2010-09-27,1100.001460167346
2010-09-28,1097.0139712966945
2010-09-29,1091.6511834534324
2010-09-30,1088.1180562213942
2010-10-01,1087.8219916472933
2010-10-04,1080.8230796397038
2010-10-05,1096.993783688333
2010-10-06,1102.4759386539547
2010-10-07,1104.271994529477
2010-10-08,1102.6678433245197
2010-10-11,1107.1413983935138
2010-10-12,1101.125401099033
2010-10-13,1119.1980612756124
2010-10-14,1117.3032573680766
2010-10-15,1118.2798230630867
2010-10-18,1124.0317208935048
2010-10-19,1120.0281790388835
2010-10-20,1121.6795830284816
2010-10-21,1125.8310226435658
2010-10-22,1123.9049373506061
2010-10-25,1123.8636154952842
2010-10-26,1124.0251283631537
2010-10-27,1116.4938957363759
2010-10-28,1121.82547105782
2010-10-29,1122.5587524155449
2010-11-01,1122.6277254211284
2010-11-02,1127.9187799106694
2010-11-03,1122.4134070056912
2010-11-04,1138.121155928331
2010-11-05,1139.0449912078436
2010-11-08,1138.8868695479541
2010-11-09,1146.09140647249
2010-11-10,1136.925173470256
2010-11-11,1133.1522948505558
2010-11-12,1130.7127197979112
2010-11-15,1140.0612293682625
2010-11-16,1113.065602265849
2010-11-17,1119.5011752948428
2010-11-18,1134.0442456572334
2010-11-19,1128.4103884104725
2010-11-22,1117.8132303454897
2010-11-23,1097.908989733244
2010-11-24,1106.3344749986222
2010-11-25,1110.2887668002911
2010-11-26,1103.690453579266
2010-11-29,1084.7625819271568
2010-11-30,1081.654740733352
2010-12-01,1106.1786330295033
2010-12-02,1123.928442549085
2010-12-03,1120.8807927845542
2010-12-06,1121.7658079881382
2010-12-07,1132.1667364062687
2010-12-08,1140.4918652007889
2010-12-09,1149.163344410186
2010-12-10,1148.4402135707237
2010-12-13,1151.5575345713455
2010-12-14,1155.9917404981222
2010-12-15,1151.817124060719
