Date,SOUTH AFRICA MINIMUM VOLATILITY (ZAR)
2001-05-31,1000.0
2001-06-01,982.2041771414963
2001-06-04,986.6575073879833
2001-06-05,985.0408338072342
2001-06-06,981.8080566021039
2001-06-07,975.3259434777382
2001-06-08,983.6146126266989
2001-06-11,983.1621850026825
2001-06-12,972.0400333352666
2001-06-13,970.923491111965
2001-06-14,967.9884324882239
2001-06-15,970.8014972850656
2001-06-18,962.3539421256938
2001-06-19,980.7660294425847
2001-06-20,975.36220749254
2001-06-21,983.5337134164852
2001-06-22,989.4165922571782
2001-06-25,988.9316598075884
2001-06-26,992.6726028743678
2001-06-27,995.6244878660119
2001-06-28,1000.1972162279222
2001-06-29,1001.3188701623989
2001-07-02,1009.4910137173156
2001-07-03,994.5236748146397
2001-07-04,972.0999706071768
2001-07-05,964.8067665352063
2001-07-06,950.3054808896668
2001-07-09,946.759620446056
2001-07-10,941.0425974300633
2001-07-11,929.7133360779709
2001-07-12,942.0241449889298
2001-07-13,947.6460323525755
2001-07-16,945.6745261857392
2001-07-17,933.6432890061612
2001-07-18,902.5805274718861
2001-07-19,915.3433408104135
2001-07-20,904.119712043759
2001-07-23,913.2922231446792
2001-07-24,900.5540268584764
2001-07-25,891.3957098921918
2001-07-26,893.1058012886003
2001-07-27,896.280972047048
2001-07-30,902.3674244451045
2001-07-31,897.992897925478
2001-08-01,908.8905169349975
2001-08-02,929.4153440550377
2001-08-03,919.2737701912394
2001-08-06,909.6725710922174
2001-08-07,900.626839782527
2001-08-08,888.0504516327888
2001-08-09,878.2406294189219
2001-08-10,875.3379073629067
2001-08-13,871.5903680762907
2001-08-14,881.3041073187029
2001-08-15,874.7669284445487
2001-08-16,875.1388393828123
2001-08-17,869.8719356937829
2001-08-20,866.1865598056374
2001-08-21,863.2260644308649
2001-08-22,866.0862780153499
2001-08-23,876.1521685157127
2001-08-24,883.2347671315002
2001-08-27,896.5161434855648
2001-08-28,901.3324810802152
2001-08-29,899.7408339859924
2001-08-30,892.3679214010939
2001-08-31,890.2370718749715
2001-09-03,883.3761121925606
2001-09-04,902.7945343449388
2001-09-05,899.3520078695722
2001-09-06,888.5595374215641
2001-09-07,873.7458750687251
2001-09-10,869.9251329996414
2001-09-11,830.8049664426844
2001-09-12,803.603422666834
2001-09-13,817.4108739507661
2001-09-14,795.217663543774
2001-09-17,778.8976306431164
2001-09-18,771.9002747552147
2001-09-19,762.9556995459136
2001-09-20,734.4567897142772
2001-09-21,715.4188595113516
2001-09-24,717.7203982282159
2001-09-25,739.9438921900673
2001-09-26,741.456988891033
2001-09-27,739.2561766809865
2001-09-28,759.1425035001943
2001-10-01,749.1571912183857
2001-10-02,748.7353562135056
2001-10-03,740.6587026823454
2001-10-04,773.0417549325323
2001-10-05,771.9360878324833
2001-10-08,775.6635394821043
2001-10-09,772.2957381280531
2001-10-10,774.4534639132901
2001-10-11,798.8934162630006
2001-10-12,792.842622229181
2001-10-15,796.5413515240309
2001-10-16,787.093597960902
2001-10-17,785.8805106364915
2001-10-18,781.6275242231073
2001-10-19,784.8222109911584
2001-10-22,773.2405079495646
2001-10-23,776.9827895729277
2001-10-24,780.8609700112742
2001-10-25,780.311080788661
2001-10-26,784.3184582691903
2001-10-29,782.5862436719075
2001-10-30,765.3860947512138
2001-10-31,771.0157704319997
2001-11-01,767.4741030706655
2001-11-02,773.8013569022871
2001-11-05,788.060121462907
2001-11-06,784.5513662899834
2001-11-07,776.1328188569227
2001-11-08,786.184835175853
2001-11-09,773.1637886744288
2001-11-12,773.3986366071306
2001-11-13,794.5446961257134
2001-11-14,807.5362661789196
2001-11-15,822.1220074551923
2001-11-16,819.8852781428556
2001-11-19,828.3354673689148
2001-11-20,816.3096299735629
2001-11-21,811.121708879656
2001-11-22,800.2172384976025
2001-11-23,804.7322009027127
2001-11-26,814.9006139734632
2001-11-27,802.5006499277486
2001-11-28,804.9282109888841
2001-11-29,782.0694384509101
2001-11-30,769.8352613755553
2001-12-03,771.3250916222202
2001-12-04,762.0927554700125
2001-12-05,762.8456079082521
2001-12-06,759.4611293624064
2001-12-07,743.6365193993248
2001-12-10,760.375191782438
2001-12-11,740.5001766907457
2001-12-12,731.8648735660884
2001-12-13,712.1575403404843
2001-12-14,699.1035994373465
2001-12-17,719.7355835376217
2001-12-18,709.5903082166011
2001-12-19,703.145300377236
2001-12-20,670.1232482716265
2001-12-21,709.0806398861222
2001-12-24,727.4762383101024
2001-12-25,727.4762383101024
2001-12-26,730.512553037214
2001-12-27,730.7559523395809
2001-12-28,737.8600438771773
2001-12-31,734.0837157352823
2002-01-01,734.0837157352823
2002-01-02,717.0292685792638
2002-01-03,724.2334952194087
2002-01-04,748.9132031947191
2002-01-07,768.4005110185063
2002-01-08,784.0646639896165
2002-01-09,794.9670403043193
2002-01-10,792.3570847976365
2002-01-11,803.8250678656593
2002-01-14,792.6490770247818
2002-01-15,775.1167788968582
2002-01-16,772.4655054802155
2002-01-17,780.664207372329
2002-01-18,769.2799266093898
2002-01-21,758.5156263795864
2002-01-22,754.2353874804315
2002-01-23,767.2919850225202
2002-01-24,777.8799296275797
2002-01-25,778.8925070984566
2002-01-28,784.731924882466
2002-01-29,786.3916069174942
2002-01-30,778.7654867280586
2002-01-31,794.6433227191584
2002-02-01,791.4088676416728
2002-02-04,794.4951584631216
2002-02-05,795.9242526788456
2002-02-06,813.6762281226041
2002-02-07,811.0594122376833
2002-02-08,813.8394486093679
2002-02-11,801.8612758116129
2002-02-12,818.4669792637305
2002-02-13,823.1547517764014
2002-02-14,842.4537488688458
2002-02-15,850.9748897155417
2002-02-18,847.5385872083576
2002-02-19,833.7828057233074
2002-02-20,828.4979795414566
2002-02-21,814.5009345644875
2002-02-22,815.6534898832178
2002-02-25,825.1335035321562
2002-02-26,835.6137193489599
2002-02-27,851.6443647566851
2002-02-28,843.5449866554061
2002-03-01,845.5898186912896
2002-03-04,878.0698107429065
2002-03-05,884.3125116722764
2002-03-06,873.6446332057031
2002-03-07,847.6714885224028
2002-03-08,829.4779934093076
2002-03-11,851.5289784876745
2002-03-12,849.3266948622282
2002-03-13,845.9724984907061
2002-03-14,840.241630420584
2002-03-15,831.5665225193442
2002-03-18,832.8357819904916
2002-03-19,841.5312029134757
2002-03-20,841.5119664439165
2002-03-21,855.7980887752981
2002-03-22,864.3631976901596
2002-03-25,868.7994472399538
2002-03-26,867.0137426938065
2002-03-27,869.7410392915112
2002-03-28,873.6359744223719
2002-03-29,873.6359744223719
2002-04-01,866.9154474937837
2002-04-02,896.406184316507
2002-04-03,900.9061225945851
2002-04-04,903.7815829892585
2002-04-05,918.6601151966759
2002-04-08,912.7830347548219
2002-04-09,905.349479433598
2002-04-10,910.0178864774086
2002-04-11,907.8028445739009
2002-04-12,907.52609223337
2002-04-15,915.292308104302
2002-04-16,923.8966612791764
2002-04-17,930.8716580938684
2002-04-18,934.3134767648261
2002-04-19,939.2631462196197
2002-04-22,952.1085370078537
2002-04-23,954.7817413185526
2002-04-24,957.4505778483825
2002-04-25,967.6809024236744
2002-04-26,969.8410953464781
2002-04-29,967.4827393105097
2002-04-30,959.8565246494219
2002-05-01,959.294483848836
2002-05-02,968.4424186847461
2002-05-03,983.0347078429728
2002-05-06,992.8661490380208
2002-05-07,1025.378955105657
2002-05-08,1033.6602878199915
2002-05-09,1028.9055748489704
2002-05-10,1033.212755840246
2002-05-13,1038.9414706357259
2002-05-14,1057.0973778688383
2002-05-15,1031.331915891111
2002-05-16,1035.3097338380228
2002-05-17,1033.0591336864295
2002-05-20,1037.3447473975616
2002-05-21,1046.0671914192856
2002-05-22,1039.6557324105197
2002-05-23,1032.2003941673067
2002-05-24,1052.5098885536745
2002-05-27,1044.0635944488713
2002-05-28,1035.569539492986
2002-05-29,1038.2916971465258
2002-05-30,1021.5181433365278
2002-05-31,1012.8741202665508
2002-06-03,1019.5252384578838
2002-06-04,1028.6141325122048
2002-06-05,1004.8843751149145
2002-06-06,1001.1859666599215
2002-06-07,991.5171203523264
2002-06-10,974.6751137717836
2002-06-11,956.884510337806
2002-06-12,955.2428693338762
2002-06-13,925.6315153858568
2002-06-14,906.2258646193823
2002-06-17,899.0358119895928
2002-06-18,921.711302950244
2002-06-19,909.3908954959511
2002-06-20,897.7932555587158
2002-06-21,887.2859819986826
2002-06-24,879.4024538304247
2002-06-25,878.2140064607314
2002-06-26,837.5055616556557
2002-06-27,848.5218678654809
2002-06-28,852.3230465940366
2002-07-01,869.452965565486
2002-07-02,858.901577925538
2002-07-03,838.6090575662821
2002-07-04,842.3526282129193
2002-07-05,868.1497553551844
2002-07-08,853.6346685495243
2002-07-09,858.5445376809835
2002-07-10,851.9903343974973
2002-07-11,834.8016297228182
2002-07-12,852.6062006409791
2002-07-15,832.2218916268392
2002-07-16,821.9898078254641
2002-07-17,826.1130075057708
2002-07-18,842.8162130650867
2002-07-19,828.6337431727017
2002-07-22,800.0506940789778
2002-07-23,785.7994483339703
2002-07-24,751.911329002991
2002-07-25,766.0860790964261
2002-07-26,765.8951885744862
2002-07-29,780.7603224909257
2002-07-30,781.7740207501914
2002-07-31,750.6020791672969
2002-08-01,743.7193562379216
2002-08-02,740.2459020280116
2002-08-05,716.7998383620643
2002-08-06,727.8093575486786
2002-08-07,741.6551647325554
2002-08-08,757.5176838468295
2002-08-09,751.6074016644867
2002-08-12,753.371464673698
2002-08-13,745.750790316025
2002-08-14,744.5822566878112
2002-08-15,751.8064402541706
2002-08-16,749.2669086495537
2002-08-19,752.2274539098745
2002-08-20,741.3969347871913
2002-08-21,738.3134521337747
2002-08-22,754.3886815590948
2002-08-23,760.6801664977827
2002-08-26,748.7741171015597
2002-08-27,774.8875771853424
2002-08-28,770.6866364914391
2002-08-29,757.7829675306565
2002-08-30,776.2907005846449
2002-09-02,770.507387165933
2002-09-03,733.7568713822709
2002-09-04,739.071966827585
2002-09-05,746.1913395057446
2002-09-06,765.668886347138
2002-09-09,788.7531783977762
2002-09-10,798.4103053468524
2002-09-11,804.2827016312704
2002-09-12,799.8637396316774
2002-09-13,784.2112907407438
2002-09-16,790.2223248653752
2002-09-17,800.9106748328327
2002-09-18,780.5493908220052
2002-09-19,774.1678715557288
2002-09-20,774.891663325458
2002-09-23,769.3337008754405
2002-09-24,770.1558995333884
2002-09-25,781.9873928052048
2002-09-26,790.6679285808518
2002-09-27,794.7012178771419
2002-09-30,774.0506717760509
2002-10-01,788.3606242068897
2002-10-02,785.6058293361941
2002-10-03,785.7634118088147
2002-10-04,790.9010780709758
2002-10-07,775.4552934968096
2002-10-08,766.8274964324563
2002-10-09,755.3731220096353
2002-10-10,756.0266279142606
2002-10-11,770.1699267190031
2002-10-14,779.4714936165816
2002-10-15,801.020593917476
2002-10-16,789.2464539839733
2002-10-17,802.633399175294
