Date,MALAYSIA IMI VALUE WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,965.780902645397
1999-01-05,982.3760692423152
1999-01-06,1022.1555724761939
1999-01-07,1026.3245445635423
1999-01-08,1052.6452701527035
1999-01-11,1076.0082286256954
1999-01-12,1062.131056756674
1999-01-13,1042.7155940024752
1999-01-14,1036.864271030328
1999-01-15,1057.702450400735
1999-01-18,1057.0640165684679
1999-01-19,1056.198802407661
1999-01-20,1059.4850179460284
1999-01-21,1093.7825167836013
1999-01-22,1111.9855865544578
1999-01-25,1100.2531755893172
1999-01-26,1091.9086405365938
1999-01-27,1094.745959540898
1999-01-28,1082.8072029194027
1999-01-29,1083.1505542485943
1999-02-01,1088.1329797270255
1999-02-02,1051.3896043599234
1999-02-03,1027.3313329994598
1999-02-04,1053.9129639900964
1999-02-05,1021.8078237149814
1999-02-08,958.1384901832892
1999-02-09,1000.795162546442
1999-02-10,989.4430944133233
1999-02-11,1020.6369342908079
1999-02-12,1039.5791675949831
1999-02-15,1043.4186670347722
1999-02-16,1048.6917577939373
1999-02-17,1043.7437774535938
1999-02-18,1029.0564965455658
1999-02-19,1040.7564235849625
1999-02-22,1036.0219257321066
1999-02-23,1037.1474117186956
1999-02-24,1017.6194052559163
1999-02-25,1009.5932393576454
1999-02-26,1220.3223956640265
1999-03-01,1196.847131084095
1999-03-02,1185.235684767259
1999-03-03,1156.113245703504
1999-03-04,1167.5941956893178
1999-03-05,1163.1511228420231
1999-03-08,1164.0557095372415
1999-03-09,1191.6339647518066
1999-03-10,1173.2188364338342
1999-03-11,1172.702149578557
1999-03-12,1172.2146479288326
1999-03-15,1156.1563712842499
1999-03-16,1144.0749834025848
1999-03-17,1129.7812873867547
1999-03-18,1138.2773846675493
1999-03-19,1141.6302726676176
1999-03-22,1118.8589186987142
1999-03-23,1107.9399834242436
1999-03-24,1083.2175955544744
1999-03-25,1110.336224229287
1999-03-26,1123.0692150140278
1999-03-29,1124.850700192272
1999-03-30,1119.9562857938572
1999-03-31,1129.9092756929635
1999-04-01,1189.202747075004
1999-04-02,1230.8591352795809
1999-04-05,1218.0866255519459
1999-04-06,1257.0940334793586
1999-04-07,1247.437060345783
1999-04-08,1239.6595642271457
1999-04-09,1277.1991805583343
1999-04-12,1274.209583253055
1999-04-13,1314.6904357064523
1999-04-14,1297.8332927207712
1999-04-15,1326.4091454421032
1999-04-16,1383.3604054762984
1999-04-19,1432.8036814752525
1999-04-20,1426.777536274466
1999-04-21,1416.023551350747
1999-04-22,1476.3595229968785
1999-04-23,1495.9164621311465
1999-04-26,1574.769026138231
1999-04-27,1553.7941898482761
1999-04-28,1554.961797868184
1999-04-29,1587.3576921102394
1999-04-30,1606.2576276213974
1999-05-03,1597.0775736981211
1999-05-04,1637.947040020613
1999-05-05,1666.7343919913556
1999-05-06,1674.4007438923982
1999-05-07,1624.733947935461
1999-05-10,1657.205072488761
1999-05-11,1715.0033814544483
1999-05-12,1717.0236014158202
1999-05-13,1744.2754806335458
1999-05-14,1807.5895125923068
1999-05-17,1817.0632649817712
1999-05-18,1882.503233042083
1999-05-19,1883.8199519319255
1999-05-20,1911.5358823693186
1999-05-21,1904.7104067314826
1999-05-24,1814.9782794500832
1999-05-25,1858.211526040072
1999-05-26,1868.3202137382366
1999-05-27,1885.367705757129
1999-05-28,1847.0859275462694
1999-05-31,1824.0289419028543
1999-06-01,1881.5670904184649
1999-06-02,1861.380023276947
1999-06-03,1851.0466456974166
1999-06-04,1848.802480618105
1999-06-07,1826.6469932355778
1999-06-08,1882.0913835668614
1999-06-09,1882.5073547546751
1999-06-10,1911.598617991986
1999-06-11,1939.7378693493763
1999-06-14,2004.071968091782
1999-06-15,1992.8110231391952
1999-06-16,2053.1050546766382
1999-06-17,2043.6742937884665
1999-06-18,2019.853302064636
1999-06-21,2032.7361159121463
1999-06-22,2063.9113698413357
1999-06-23,2078.492079302968
1999-06-24,2086.1889917215217
1999-06-25,2079.3910495984414
1999-06-28,2149.482997722828
1999-06-29,2199.113586746453
1999-06-30,2171.3681272677577
1999-07-01,2262.183214221026
1999-07-02,2305.7109941547455
1999-07-05,2320.7925959920162
1999-07-06,2339.0211337332235
1999-07-07,2310.521084824121
1999-07-08,2359.9124432900353
1999-07-09,2383.4311207584046
1999-07-12,2422.955036566827
1999-07-13,2375.5250261671276
1999-07-14,2433.854913134033
1999-07-15,2432.004275629591
1999-07-16,2403.4461741758123
1999-07-19,2379.4509288532445
1999-07-20,2312.2246883112975
1999-07-21,2328.2738571313885
1999-07-22,2282.0243608723254
1999-07-23,2229.724076024533
1999-07-26,2047.4998227421436
1999-07-27,2146.8548229581056
1999-07-28,2091.408153593626
1999-07-29,2050.6683151691805
1999-07-30,2034.0534888552233
1999-08-02,1900.9121597811475
1999-08-03,1951.1987899231071
