Date,EM EASTERN EUROPE ex RUSSIA IMI
2007-05-31,1000.0
2007-06-01,1017.0612867949892
2007-06-04,1010.5372896187309
2007-06-05,1009.6856533319674
2007-06-06,989.1184455202206
2007-06-07,988.674016661249
2007-06-08,976.4743170291404
2007-06-11,986.8833418185146
2007-06-12,981.9569569103817
2007-06-13,992.4338004539287
2007-06-14,1003.468230811714
2007-06-15,1017.7882092040389
2007-06-18,1014.3536344564798
2007-06-19,1016.3654843632847
2007-06-20,1015.2157133552862
2007-06-21,1012.5982519491176
2007-06-22,1033.3506257503384
2007-06-25,1041.3654123195367
2007-06-26,1060.1177723413334
2007-06-27,1043.24512450846
2007-06-28,1060.3993541669402
2007-06-29,1058.6713140065576
2007-07-02,1058.2909371483272
2007-07-03,1073.2700479615364
2007-07-04,1079.3813083020727
2007-07-05,1072.5492669446387
2007-07-06,1084.1654350744304
2007-07-09,1084.2414016303999
2007-07-10,1064.7158200100332
2007-07-11,1062.6628192156797
2007-07-12,1074.4885965568162
2007-07-13,1079.6515146701788
2007-07-16,1077.7950325944937
2007-07-17,1072.5523910821676
2007-07-18,1072.424771050221
2007-07-19,1084.3120496304641
2007-07-20,1072.2959175686199
2007-07-23,1089.7422028773426
2007-07-24,1072.1487219458222
2007-07-25,1063.149950424605
2007-07-26,1038.320371601362
2007-07-27,1027.6427595793907
2007-07-30,1025.5072288816746
2007-07-31,1040.3772318375977
2007-08-01,1018.4307278959217
2007-08-02,1025.2886785842845
2007-08-03,1012.7368997282872
2007-08-06,998.3402734682214
2007-08-07,1010.6151540351009
2007-08-08,1021.3485706041797
2007-08-09,1001.6154988895695
2007-08-10,973.1317403703964
2007-08-13,996.4312870744441
2007-08-14,976.237678211281
2007-08-15,966.9045669100757
2007-08-16,908.9497586640422
2007-08-17,920.5645232293106
2007-08-20,921.829776390279
2007-08-21,913.110344141271
2007-08-22,952.0521067809185
2007-08-23,962.976128362493
2007-08-24,974.5700711484528
2007-08-27,976.6567601512918
2007-08-28,965.527993187539
2007-08-29,971.5821612193857
2007-08-30,970.6358511282419
2007-08-31,988.5298427662556
2007-09-03,990.3533852798026
2007-09-04,995.5197115464447
2007-09-05,984.1789299069397
2007-09-06,979.8959480036594
2007-09-07,967.2883875371824
2007-09-10,954.6838864351375
2007-09-11,971.5344413825483
2007-09-12,983.2332197028699
2007-09-13,995.7894440612394
2007-09-14,989.3999088356884
2007-09-17,985.1857040985591
2007-09-18,993.0886954401253
2007-09-19,1023.802187801721
2007-09-20,1025.810916335138
2007-09-21,1025.3401262499533
2007-09-24,1017.8938064079905
2007-09-25,1014.9619951582107
2007-09-26,1021.035611132617
2007-09-27,1023.2202853312311
2007-09-28,1019.9965038222748
2007-10-01,1025.9857725162021
2007-10-02,1031.0623131209347
2007-10-03,1026.124768428934
2007-10-04,1026.689062591609
2007-10-05,1036.4192654442923
2007-10-08,1041.5422405362451
2007-10-09,1053.992387859523
2007-10-10,1052.103557511356
2007-10-11,1075.0717344827037
2007-10-12,1071.2053893152156
2007-10-15,1078.602533627128
2007-10-16,1061.4263263319733
2007-10-17,1068.074199595668
2007-10-18,1058.2256988891743
2007-10-19,1062.7981904425526
2007-10-22,1060.0154731607295
2007-10-23,1077.0461895122849
2007-10-24,1072.608782259815
2007-10-25,1084.05918282009
2007-10-26,1090.8293972499189
2007-10-29,1098.9900974748664
2007-10-30,1091.5175081667235
2007-10-31,1088.371220464791
2007-11-01,1086.7770934211835
2007-11-02,1076.7674678446608
2007-11-05,1071.9283078875662
2007-11-06,1076.3769711965715
2007-11-07,1057.791679091457
2007-11-08,1049.376657384676
2007-11-09,1038.4780127128925
2007-11-12,1019.8336734761426
2007-11-13,1026.354363686764
2007-11-14,1021.3047260220726
2007-11-15,1005.7497929654714
2007-11-16,1000.3869067424282
2007-11-19,996.9453773102625
2007-11-20,1001.104498018455
2007-11-21,978.8149651035791
2007-11-22,987.3506973698971
2007-11-23,994.0540380533739
2007-11-26,983.9743992755263
2007-11-27,961.515228491719
2007-11-28,989.8456227572956
2007-11-29,999.2284624141207
2007-11-30,1010.4224414182489
2007-12-03,1003.8254724780967
2007-12-04,1006.4093141596434
2007-12-05,1036.224587888423
2007-12-06,1045.8941930697583
2007-12-07,1059.7630962908463
2007-12-10,1069.9582328591443
2007-12-11,1062.5278340783566
2007-12-12,1066.2712357480573
2007-12-13,1045.5336587315505
2007-12-14,1030.4531573990778
2007-12-17,1003.5682498795962
2007-12-18,1005.7869337161493
2007-12-19,998.7915219065736
2007-12-20,1002.4433439053557
2007-12-21,1005.3883713336098
2007-12-24,1006.8452205145114
2007-12-25,1006.8452205145114
2007-12-26,1005.0240509666471
2007-12-27,1024.6053682552163
2007-12-28,1011.8787871950432
2007-12-31,1014.3401996457729
2008-01-01,1014.3401996457729
2008-01-02,1007.127474884497
2008-01-03,1011.1138594934404
2008-01-04,993.9538462291791
2008-01-07,982.2923341776453
2008-01-08,997.1029814324688
2008-01-09,974.3289412154687
2008-01-10,955.7607121225761
2008-01-11,945.4329196847741
2008-01-14,938.3246271869141
2008-01-15,911.8474015141035
2008-01-16,873.1964548983165
2008-01-17,873.2033188862516
2008-01-18,882.7872554452283
2008-01-21,829.9191561858996
2008-01-22,840.4432774024675
2008-01-23,828.6584425976841
2008-01-24,876.5540648557509
2008-01-25,881.6970268405948
2008-01-28,865.4893664451937
2008-01-29,879.2394669356829
2008-01-30,888.7482711105174
2008-01-31,874.1738721099357
2008-02-01,898.9022946616407
2008-02-04,912.0596473957056
2008-02-05,884.627438833635
2008-02-06,878.1966187424521
2008-02-07,857.6220029584485
2008-02-08,861.3269213904174
2008-02-11,871.7134124782814
2008-02-12,903.0786640294896
2008-02-13,916.4310037152036
2008-02-14,920.8747864045787
2008-02-15,905.0488601716947
2008-02-18,923.1785161119551
2008-02-19,918.7064137215474
2008-02-20,913.2590298783615
2008-02-21,913.2213995841081
2008-02-22,902.7862062722758
2008-02-25,915.3404901915563
2008-02-26,913.8358240303193
2008-02-27,912.8701883286675
2008-02-28,908.5855992673122
2008-02-29,890.314658977789
2008-03-03,872.4320499378885
2008-03-04,853.6317036672202
2008-03-05,873.6501599231061
2008-03-06,856.4788411240036
2008-03-07,842.1098595492122
2008-03-10,844.8738369945734
2008-03-11,875.9387976476975
2008-03-12,884.1688503033947
2008-03-13,859.9497584380509
2008-03-14,857.6705012301884
2008-03-17,831.9568038562896
2008-03-18,861.248920208773
2008-03-19,867.5120576175555
2008-03-20,850.1203977125078
2008-03-21,855.6040268182602
2008-03-24,858.0091632972641
2008-03-25,877.7777859434759
2008-03-26,875.960884142252
2008-03-27,889.5211485935041
2008-03-28,889.5484494710983
2008-03-31,883.4607948096883
2008-04-01,900.1855552355636
2008-04-02,899.9420865948482
2008-04-03,898.0000176616016
2008-04-04,903.2161091412231
2008-04-07,915.9303575840809
2008-04-08,907.5438045377014
2008-04-09,912.0976130771288
2008-04-10,907.5964249086453
2008-04-11,893.6155274499192
2008-04-14,892.9409369200395
2008-04-15,897.2459931578962
2008-04-16,893.8787952707407
2008-04-17,892.8291211383115
2008-04-18,902.3621435521194
2008-04-21,897.9900978997301
2008-04-22,891.6326574657548
2008-04-23,884.5370235509514
2008-04-24,893.3321334208371
2008-04-25,894.9019026981899
2008-04-28,902.9365666344002
2008-04-29,885.9490636092673
2008-04-30,896.5784352214398
2008-05-01,894.1108832061028
2008-05-02,902.1945211515188
2008-05-05,916.2597029230596
2008-05-06,919.1776214485558
2008-05-07,937.4096093386711
2008-05-08,929.4674953282052
2008-05-09,930.7125411382011
2008-05-12,938.993637693097
2008-05-13,945.9716216559809
2008-05-14,952.985029060435
2008-05-15,945.9814424944432
2008-05-16,955.3650203940169
2008-05-19,952.2032771112995
2008-05-20,942.2108314081579
2008-05-21,937.3187126735121
2008-05-22,936.03270270354
2008-05-23,927.5941505283563
2008-05-26,927.5385762932484
2008-05-27,926.3699231438522
2008-05-28,934.8035814933789
2008-05-29,938.6969219304794
2008-05-30,939.7202524725473
2008-06-02,934.366144630175
2008-06-03,939.4841891819367
2008-06-04,924.6163343657773
2008-06-05,929.0852035362732
2008-06-06,915.4474926868402
2008-06-09,908.363594950764
2008-06-10,889.0683598083072
2008-06-11,877.8161663091695
