Date,EM ASIA VALUE WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,1043.7645385490441
1999-01-05,1073.3037955097532
1999-01-06,1114.8566995505219
1999-01-07,1167.0241172700119
1999-01-08,1166.1151307943544
1999-01-11,1181.8685778143329
1999-01-12,1154.7205572194841
1999-01-13,1122.1081081688628
1999-01-14,1073.0503934559101
1999-01-15,1096.7002344256898
1999-01-18,1110.3415997622715
1999-01-19,1103.1829605235348
1999-01-20,1109.960171611682
1999-01-21,1074.682473851852
1999-01-22,1027.3823413633422
1999-01-25,1005.3838151141094
1999-01-26,1003.6731559238408
1999-01-27,1050.4022331981862
1999-01-28,1055.1627551665165
1999-01-29,1056.7448848067545
1999-02-01,1061.1373673059993
1999-02-02,1040.781498145991
1999-02-03,1031.0369346498046
1999-02-04,1017.4238183297757
1999-02-05,1014.0110196488206
1999-02-08,1009.5768755391179
1999-02-09,974.4624570488655
1999-02-10,979.9637440211706
1999-02-11,983.8346261621598
1999-02-12,1021.6973695474653
1999-02-15,1025.5271530847733
1999-02-16,1032.7471299233737
1999-02-17,1026.2160437130706
1999-02-18,1007.869480797073
1999-02-19,994.764202160502
1999-02-22,987.9685967709169
1999-02-23,989.7402378859027
1999-02-24,987.4498442809684
1999-02-25,977.1794527214987
1999-02-26,1007.4214330847511
1999-03-01,1020.3807959263945
1999-03-02,1033.6166578568755
1999-03-03,1039.502417999326
1999-03-04,1035.1319029634235
1999-03-05,1039.468272413128
1999-03-08,1083.8638637954118
1999-03-09,1083.584032684987
1999-03-10,1076.6843357764926
1999-03-11,1097.002842219624
1999-03-12,1096.6504054100494
1999-03-15,1108.6835724954517
1999-03-16,1121.872639829273
1999-03-17,1110.5488224701935
1999-03-18,1094.6978074145118
1999-03-19,1139.5878965986255
1999-03-22,1153.3507572248584
1999-03-23,1161.3295250747672
1999-03-24,1153.4878873376226
1999-03-25,1154.7833967491576
1999-03-26,1169.0149454118005
1999-03-29,1158.572996769967
1999-03-30,1178.7960353620153
1999-03-31,1176.9084633530254
1999-04-01,1206.2482497230749
1999-04-02,1233.4107756503688
1999-04-05,1228.7889543116546
1999-04-06,1252.786888550446
1999-04-07,1257.7598179817473
1999-04-08,1272.3472610641797
1999-04-09,1288.1222049159403
1999-04-12,1274.9238945225604
1999-04-13,1284.8278915532176
1999-04-14,1284.5597934894092
1999-04-15,1341.4160797425404
1999-04-16,1375.4154720740491
1999-04-19,1454.9862761487589
1999-04-20,1461.0056845306392
1999-04-21,1434.7991725764384
1999-04-22,1429.2359881453353
1999-04-23,1453.0814539089047
1999-04-26,1507.6412897278985
1999-04-27,1546.6291987234824
1999-04-28,1544.9021887390109
1999-04-29,1501.4510693504833
1999-04-30,1507.2669419055997
1999-05-03,1510.3000532973115
1999-05-04,1553.5091895543662
1999-05-05,1546.6913921378593
1999-05-06,1599.2925271976471
1999-05-07,1611.1772848388143
1999-05-10,1622.7650088294688
1999-05-11,1598.3632074747284
1999-05-12,1586.8845988369335
1999-05-13,1563.9323910163293
1999-05-14,1552.5359628560766
1999-05-17,1516.7318829673404
1999-05-18,1560.3247612136636
1999-05-19,1570.4825170082354
1999-05-20,1536.7107647992507
1999-05-21,1546.4735426254651
1999-05-24,1537.4705726777504
1999-05-25,1540.9176533128789
1999-05-26,1571.0838885182338
1999-05-27,1575.5341671898345
1999-05-28,1568.3448092832505
1999-05-31,1584.7513822601172
1999-06-01,1598.5958796955283
1999-06-02,1642.926911458275
1999-06-03,1661.7130965011943
1999-06-04,1705.2700946536354
1999-06-07,1769.5142348450306
1999-06-08,1786.0900972265822
1999-06-09,1739.232905942555
1999-06-10,1799.733602152874
1999-06-11,1795.335524288411
1999-06-14,1777.3872352391288
1999-06-15,1749.397965953885
1999-06-16,1815.3045362134617
1999-06-17,1848.5674653932645
1999-06-18,1846.0279015238864
1999-06-21,1933.4464887787485
1999-06-22,1968.005375588219
1999-06-23,1961.1211462131619
1999-06-24,1948.466534925153
1999-06-25,1918.1027966181425
1999-06-28,1968.3187625293708
1999-06-29,1980.8564184279637
1999-06-30,1959.0285742423341
1999-07-01,2004.7305854370668
1999-07-02,2043.7027989730632
1999-07-05,2088.4395407929433
1999-07-06,2109.600560899107
1999-07-07,2122.2665416418713
1999-07-08,2117.82734333408
1999-07-09,2149.331262286451
1999-07-12,2161.366410862581
1999-07-13,2120.079651513098
1999-07-14,2059.6950727777657
1999-07-15,2070.392454395152
1999-07-16,2095.271730407877
1999-07-19,2102.8032533276387
1999-07-20,2032.1086419654052
1999-07-21,1974.117839118239
1999-07-22,1974.1309015383022
1999-07-23,1882.4920836893396
1999-07-26,1799.4906408704594
1999-07-27,1854.900409919906
1999-07-28,1890.362202503584
1999-07-29,1921.0776363244183
1999-07-30,1890.1183857088413
1999-08-02,1874.2164106262446
1999-08-03,1895.7010389159282
