Date,AC PACIFIC HIGH DIVIDEND YIELD
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,991.451674899354
1999-01-05,992.6724943218279
1999-01-06,1016.6516172196605
1999-01-07,1047.0444455628908
1999-01-08,1042.0251146973249
1999-01-11,1046.088327549312
1999-01-12,1044.3810242553302
1999-01-13,1015.0356097691786
1999-01-14,1004.6743440012198
1999-01-15,1010.0069716005498
1999-01-18,1019.4622157709997
1999-01-19,1020.0116498051624
1999-01-20,1025.6130398337364
1999-01-21,1013.2069428560696
1999-01-22,987.3545691325659
1999-01-25,969.8799465576473
1999-01-26,975.6836732014384
1999-01-27,984.1590098120961
1999-01-28,970.3028601352448
1999-01-29,978.4706342287037
1999-02-01,986.6468405602068
1999-02-02,988.6414175039782
1999-02-03,982.7471754401037
1999-02-04,984.5488164372913
1999-02-05,972.4378873953636
1999-02-08,970.0148747119865
1999-02-09,964.659779450941
1999-02-10,950.9866375620485
1999-02-11,958.2875162930262
1999-02-12,972.8758722356241
1999-02-15,969.1568241568694
1999-02-16,960.3826671380078
1999-02-17,958.3894566631006
1999-02-18,957.0664693999832
1999-02-19,952.1367270916921
1999-02-22,959.8887920117609
1999-02-23,963.3498962547918
1999-02-24,970.0466776863417
1999-02-25,967.6933970515068
1999-02-26,970.5487325921083
1999-03-01,973.3295683621986
1999-03-02,965.4218293474312
1999-03-03,971.2723107187525
1999-03-04,966.2251882507636
1999-03-05,989.121460626203
1999-03-08,1002.1127056524499
1999-03-09,1015.8094229673393
1999-03-10,1028.7492578867818
1999-03-11,1027.823228608539
1999-03-12,1039.9883620495948
1999-03-15,1051.7369392051658
1999-03-16,1057.109497463507
1999-03-17,1058.9393518533627
1999-03-18,1040.3491361230747
1999-03-19,1066.6588653352528
1999-03-22,1070.9599279078968
1999-03-23,1073.9899913302154
1999-03-24,1057.2617931303441
1999-03-25,1067.1512282786584
1999-03-26,1061.629406707393
1999-03-29,1054.2135635222653
1999-03-30,1063.4428987998099
1999-03-31,1069.3450369090936
1999-04-01,1085.1219714947651
1999-04-02,1083.1781508964607
1999-04-05,1078.834817403259
1999-04-06,1085.199209559214
1999-04-07,1100.4289671432289
1999-04-08,1104.2470650185287
1999-04-09,1116.2200624078582
1999-04-12,1111.635396228465
1999-04-13,1127.0003836941871
1999-04-14,1137.0153251276304
1999-04-15,1146.9022702099776
1999-04-16,1187.2883674809154
1999-04-19,1210.1573438498083
1999-04-20,1186.954667070767
1999-04-21,1182.4485229843162
1999-04-22,1205.2374267116272
1999-04-23,1210.237785445695
1999-04-26,1219.5369115508179
1999-04-27,1232.7752916541679
1999-04-28,1219.313254925788
1999-04-29,1219.2702724955857
1999-04-30,1228.095484628544
1999-05-03,1226.5454237565343
1999-05-04,1239.7786304513838
1999-05-05,1240.634950336531
1999-05-06,1257.9781700630435
1999-05-07,1224.410189354722
1999-05-10,1230.8340180985506
1999-05-11,1217.2451625739943
1999-05-12,1223.0623021388901
1999-05-13,1223.953654634119
1999-05-14,1214.1990010195993
1999-05-17,1188.8392131442206
1999-05-18,1195.5563034120757
1999-05-19,1171.5570750126908
1999-05-20,1163.8824394838732
1999-05-21,1161.646841074101
1999-05-24,1166.8810009637366
1999-05-25,1153.3262967666358
1999-05-26,1154.7624047761212
1999-05-27,1148.9921878506989
1999-05-28,1138.2798801996346
1999-05-31,1135.3963442661263
1999-06-01,1149.5826046381026
1999-06-02,1154.3166327641673
1999-06-03,1157.1275992099995
1999-06-04,1159.7777028309536
1999-06-07,1182.3847725663425
1999-06-08,1190.9425105358637
1999-06-09,1194.5720326163134
1999-06-10,1204.3311501929459
1999-06-11,1208.1467076848546
1999-06-14,1195.1133391563096
1999-06-15,1187.1541188106116
1999-06-16,1200.1953938684653
1999-06-17,1216.7109186537393
1999-06-18,1210.92094413587
1999-06-21,1228.0196211233072
1999-06-22,1236.8819422061197
1999-06-23,1234.0097914280884
1999-06-24,1225.3549628734843
1999-06-25,1228.1798727887772
1999-06-28,1238.011603043993
1999-06-29,1238.491977161329
1999-06-30,1222.8540500378638
1999-07-01,1235.7804923913873
1999-07-02,1255.0883849625711
1999-07-05,1265.4532006599939
1999-07-06,1259.7518761881101
1999-07-07,1253.1571703508375
1999-07-08,1252.9309190560296
1999-07-09,1253.003905689821
1999-07-12,1242.2658651389397
1999-07-13,1236.648143552096
1999-07-14,1221.855347141877
1999-07-15,1232.4222412022243
1999-07-16,1218.752696675022
1999-07-19,1221.3145389061747
1999-07-20,1229.8901239818072
1999-07-21,1220.9245537555996
1999-07-22,1211.2634424794048
1999-07-23,1195.5376027365025
1999-07-26,1180.20235655212
1999-07-27,1187.8427237829935
1999-07-28,1193.9369013430603
1999-07-29,1200.5140511437974
1999-07-30,1203.3136888602087
1999-08-02,1201.4115947863063
1999-08-03,1212.6432761834822
1999-08-04,1210.5033707334658
