Date,KUKJE (ACWI ex KOREA) VALUE
2002-05-31,1000.0
2002-06-03,986.3685220645788
2002-06-04,979.9774051235573
2002-06-05,978.2280992612042
2002-06-06,967.3182361586415
2002-06-07,965.3948550259314
2002-06-10,965.2522159276031
2002-06-11,958.1758860468767
2002-06-12,957.3177459971809
2002-06-13,947.8799721918807
2002-06-14,937.7049604971077
2002-06-17,956.331812546376
2002-06-18,959.9817258279421
2002-06-19,946.9033722057961
2002-06-20,938.4142884882907
2002-06-21,931.7028086507427
2002-06-24,926.9326893687615
2002-06-25,923.7416732757393
2002-06-26,916.7146597405052
2002-06-27,926.1607734489714
2002-06-28,941.7646743942672
2002-07-01,933.4773454419878
2002-07-02,915.8660472938147
2002-07-03,908.4626712040778
2002-07-04,911.7378794313349
2002-07-05,937.1632758177415
2002-07-08,936.5117772011004
2002-07-09,924.9144670509535
2002-07-10,898.6355224364846
2002-07-11,888.5303592455348
2002-07-12,883.6776338797808
2002-07-15,869.4983468462588
2002-07-16,860.6340572521415
2002-07-17,869.1418757241419
2002-07-18,862.0387635389513
2002-07-19,834.349619383753
2002-07-22,802.2104999570561
2002-07-23,780.9198694185678
2002-07-24,799.6143998170568
2002-07-25,810.2870166551642
2002-07-26,814.2676276619062
2002-07-29,849.8551221265997
2002-07-30,856.0598619136836
2002-07-31,864.4024076986439
2002-08-01,840.3530690211655
2002-08-02,829.9183159678214
2002-08-05,807.4193248366718
2002-08-06,820.9186239263552
2002-08-07,831.4830097492663
2002-08-08,855.4103352070192
2002-08-09,865.3223464263535
2002-08-12,858.8343247355298
2002-08-13,850.7159382833495
2002-08-14,864.8026319560784
2002-08-15,875.4501534423378
2002-08-16,874.2595703569639
2002-08-19,888.8432099432239
2002-08-20,878.4587635906125
2002-08-21,888.595278646758
2002-08-22,898.9878502137959
2002-08-23,884.7924962714706
2002-08-26,890.5240699577894
2002-08-27,894.1069708908788
2002-08-28,875.1429788999599
2002-08-29,869.67185029021
2002-08-30,871.9599341272944
2002-09-02,868.3223215216914
2002-09-03,838.3408978605875
2002-09-04,842.2492274774881
2002-09-05,835.4791541517427
2002-09-06,846.0870488070587
2002-09-09,848.0476593666825
2002-09-10,854.1648737659579
2002-09-11,858.386884681079
2002-09-12,840.2237155057444
2002-09-13,835.1274317926648
2002-09-16,833.3713445474824
2002-09-17,822.8282164155528
2002-09-18,812.7947751171982
2002-09-19,798.0465896133859
2002-09-20,796.3933379326959
2002-09-23,784.658568881617
2002-09-24,769.8626273086829
2002-09-25,779.4852774243682
2002-09-26,800.9049025763672
2002-09-27,787.0769431640797
2002-09-30,773.7934257209344
2002-10-01,791.824252284364
2002-10-02,783.0253295695267
2002-10-03,773.7913088465137
2002-10-04,757.856215424064
2002-10-07,743.4634044524956
2002-10-08,743.3373825036247
2002-10-09,728.6293273937422
2002-10-10,748.6936330357153
2002-10-11,776.2483648842767
2002-10-14,776.4304843093562
2002-10-15,811.8335943822349
2002-10-16,801.7384906956664
2002-10-17,817.425181923163
2002-10-18,818.2881399093294
2002-10-21,828.4435237958364
2002-10-22,819.5600901365166
2002-10-23,816.5485264624173
2002-10-24,815.6209486901331
2002-10-25,820.9240819030118
2002-10-28,823.4025798707092
2002-10-29,807.5458856052114
2002-10-30,819.2653420487889
2002-10-31,821.076868735132
2002-11-01,829.325219745908
2002-11-04,839.9482755941096
2002-11-05,848.035859478989
2002-11-06,848.6155729023867
2002-11-07,834.998645682825
2002-11-08,830.637762386626
2002-11-11,817.4726945111433
2002-11-12,820.4571829912269
2002-11-13,814.3629571223821
2002-11-14,826.1589038036068
2002-11-15,835.0699450210938
2002-11-18,833.0387175461186
2002-11-19,831.7490792522159
2002-11-20,837.8200317709394
2002-11-21,856.7626925312411
2002-11-22,857.0611794440431
2002-11-25,856.8469627552281
2002-11-26,841.4698048908398
2002-11-27,859.0488107830332
2002-11-28,864.3228296187448
2002-11-29,863.9065409770902
2002-12-02,861.6515321828681
2002-12-03,850.4752524183078
2002-12-04,845.5062758540945
2002-12-05,837.3143990921504
2002-12-06,842.0509509240044
2002-12-09,827.1672337813585
2002-12-10,834.7745059597411
2002-12-11,837.4697614915036
2002-12-12,834.107533593497
2002-12-13,828.3338847985923
2002-12-16,846.2025341278236
2002-12-17,842.1806232503286
2002-12-18,830.0289283715165
2002-12-19,826.5944580277527
2002-12-20,836.9202578772822
2002-12-23,837.7184698872541
2002-12-24,836.0316362846304
2002-12-25,835.7151860896381
2002-12-26,837.40124401455
2002-12-27,823.9749019906665
2002-12-30,829.9488796354153
2002-12-31,832.7628666983627
2003-01-01,832.7760655524585
2003-01-02,853.0836998067964
2003-01-03,854.657757811775
2003-01-06,873.6061420592854
2003-01-07,863.3593513723325
2003-01-08,851.1932245501021
2003-01-09,863.2027280307268
2003-01-10,864.9565859116854
2003-01-13,865.6496190267341
2003-01-14,870.3339719531062
2003-01-15,861.6787576648182
2003-01-16,860.3583883903746
2003-01-17,852.3421378059018
2003-01-20,848.4010290428374
2003-01-21,836.205975915053
2003-01-22,825.7603872894282
2003-01-23,829.3175826847613
2003-01-24,814.7348136838805
2003-01-27,797.7812089055561
2003-01-28,803.8405207930934
2003-01-29,806.9929117046568
2003-01-30,800.1094831225283
2003-01-31,807.4806349294229
2003-02-03,816.421489141716
2003-02-04,806.3973972834319
2003-02-05,807.2671817439995
2003-02-06,797.9121608817524
2003-02-07,791.3154982177825
2003-02-10,791.3452935573936
2003-02-11,789.9728286735112
2003-02-12,781.6320943503387
2003-02-13,781.6520272381239
2003-02-14,792.8534540905866
2003-02-17,797.0992052497048
2003-02-18,806.1990603058256
2003-02-19,799.5401330698845
2003-02-20,794.2216219401087
2003-02-21,801.1428859865533
2003-02-24,790.0443728744724
2003-02-25,784.9656051551738
2003-02-26,778.5997127520169
2003-02-27,785.5441220304747
2003-02-28,790.4269872733457
2003-03-03,791.5133350595936
2003-03-04,781.3197577068763
2003-03-05,785.0069875201333
2003-03-06,776.5539554319085
2003-03-07,775.579547992864
2003-03-10,757.8526619926729
2003-03-11,752.0386350883197
2003-03-12,744.2399357910583
2003-03-13,765.5700287782277
2003-03-14,773.8123293246229
2003-03-17,791.7189196751355
2003-03-18,793.7438831536737
2003-03-19,800.8316164174073
2003-03-20,802.4474936436025
2003-03-21,818.2300125656996
2003-03-24,797.5218533735351
2003-03-25,804.2638366011982
2003-03-26,803.4931714782267
2003-03-27,799.8897292534281
2003-03-28,796.9040790485021
2003-03-31,781.9871896283274
2003-04-01,792.3453329446672
2003-04-02,807.4012610194596
2003-04-03,804.5982939791306
2003-04-04,809.1160496321514
2003-04-07,817.4302199582114
2003-04-08,813.15224947413
2003-04-09,806.7363715086068
2003-04-10,808.8675495642176
2003-04-11,806.7607466519419
2003-04-14,818.1256241839578
2003-04-15,827.2006168116314
2003-04-16,819.5566354591979
2003-04-17,828.6932056523501
2003-04-18,828.9386950133861
2003-04-21,827.1391237728969
2003-04-22,842.0947466686196
2003-04-23,851.4515805686322
2003-04-24,844.8237427656576
2003-04-25,833.22846344194
2003-04-28,846.4209233187287
2003-04-29,847.7232243927886
2003-04-30,854.2029009372253
2003-05-01,854.6611942577906
2003-05-02,863.2334537896576
2003-05-05,863.3060214843223
2003-05-06,873.4131960154743
2003-05-07,870.132790780522
2003-05-08,860.8417597312038
2003-05-09,870.1755865872655
2003-05-12,878.9717586532079
2003-05-13,878.2711204755461
2003-05-14,878.7918701984581
2003-05-15,883.5159127456369
2003-05-16,885.3672634945088
