Date,SINGAPORE IMI HIGH DIVIDEND YIELD
2010-05-26,1000.0
2010-05-27,1017.1836748837006
2010-05-28,1019.2135475154977
2010-05-31,1026.275280175595
2010-06-01,1004.7037198005385
2010-06-02,1009.2734470876916
2010-06-03,1033.4129358281232
2010-06-04,1033.0527017279821
2010-06-07,1012.0602026982446
2010-06-08,1014.3181207534993
2010-06-09,1013.609765464876
2010-06-10,1025.0973241398992
2010-06-11,1031.362254527334
2010-06-14,1051.6643343237683
2010-06-15,1060.7466166011388
2010-06-16,1071.3467037118019
2010-06-17,1074.0573614633524
2010-06-18,1095.151478513311
2010-06-21,1112.3587557879457
2010-06-22,1103.6573775914067
2010-06-23,1089.909766693317
2010-06-24,1078.309695365518
2010-06-25,1084.5562983240632
2010-06-28,1088.247025813567
2010-06-29,1068.8252262553976
2010-06-30,1068.5496159786921
2010-07-01,1059.5552693507148
2010-07-02,1063.5136922651602
2010-07-05,1064.765706918113
2010-07-06,1082.857983910978
2010-07-07,1074.9856175347645
2010-07-08,1090.218929471245
2010-07-09,1093.074276272499
2010-07-12,1091.5400765056602
2010-07-13,1100.5854491414905
2010-07-14,1109.9620393448238
2010-07-15,1108.4647048966144
2010-07-16,1105.2468421462597
2010-07-19,1097.5129020878726
2010-07-20,1105.6019132279037
2010-07-21,1104.5008493507464
2010-07-22,1107.5132243466603
2010-07-23,1116.4566425700966
2010-07-26,1123.2248873936546
2010-07-27,1138.5880310134837
2010-07-28,1139.0967847858387
2010-07-29,1147.0530724551554
2010-07-30,1149.5458863271883
2010-08-02,1163.008751070789
2010-08-03,1161.6254295379208
2010-08-04,1160.4889681301775
2010-08-05,1167.14958038573
2010-08-06,1168.8482330615445
2010-08-09,1168.5880939837461
2010-08-10,1152.837722699576
2010-08-11,1131.7019348110412
2010-08-12,1125.3608327820866
2010-08-13,1139.42362733437
2010-08-16,1132.3360330867174
2010-08-17,1130.7461492202187
2010-08-18,1134.6665573838152
2010-08-19,1147.1759086231402
2010-08-20,1138.5902083057724
2010-08-23,1139.488125666287
2010-08-24,1132.3423092479368
2010-08-25,1130.004159998263
2010-08-26,1138.026307031934
2010-08-27,1141.5902149052745
2010-08-30,1145.2267700559019
2010-08-31,1145.1997706239083
2010-09-01,1156.520325930624
2010-09-02,1159.6274657055706
2010-09-03,1166.14152890886
2010-09-06,1177.1211410318263
2010-09-07,1173.3861058469888
2010-09-08,1183.0404040353362
2010-09-09,1183.7108565253366
2010-09-10,1184.417417752884
2010-09-13,1197.6500660701956
2010-09-14,1202.3447617683837
2010-09-15,1212.9262886704014
2010-09-16,1202.7260080893952
2010-09-17,1211.713791342613
2010-09-20,1212.3519562804033
2010-09-21,1222.9032017480693
2010-09-22,1227.1008862344936
2010-09-23,1228.8125718653755
2010-09-24,1239.7619691323798
2010-09-27,1239.8708766175826
2010-09-28,1231.1447801835118
2010-09-29,1240.0655591243585
2010-09-30,1240.1974651118555
2010-10-01,1248.417467011755
2010-10-04,1258.1952739469114
2010-10-05,1271.3799470844165
2010-10-06,1281.7589758348747
2010-10-07,1286.1588698058704
2010-10-08,1282.7270946864808
2010-10-11,1292.226059253533
2010-10-12,1273.5699246491222
2010-10-13,1291.7704938109632
2010-10-14,1288.3371969976308
2010-10-15,1296.3117352879829
2010-10-18,1283.911515951364
2010-10-19,1271.259217226821
2010-10-20,1271.4585817499924
2010-10-21,1279.2398204724143
2010-10-22,1287.2724978307506
2010-10-25,1315.8680202602027
2010-10-26,1302.588043427126
2010-10-27,1295.1093064594895
2010-10-28,1312.6996272515603
2010-10-29,1323.4387174043593
2010-11-01,1345.0890225530009
2010-11-02,1346.2941653157682
2010-11-03,1359.6196578147744
2010-11-04,1377.112379640514
2010-11-05,1373.0442589559152
2010-11-08,1408.7585217524552
2010-11-09,1422.0565368395019
2010-11-10,1409.0779026249122
2010-11-11,1409.4262313694774
2010-11-12,1377.729243599855
2010-11-15,1356.9027540633956
2010-11-16,1344.7345115135258
2010-11-17,1345.6639801106858
2010-11-18,1352.1201504750875
2010-11-19,1350.5112824298108
2010-11-22,1360.4708148763216
2010-11-23,1324.4208772406346
