Date,SINGAPORE IMI MINIMUM VOLATILITY (USD)
2001-05-31,1000.0
2001-06-01,998.1924526892298
2001-06-04,1005.0655689468604
2001-06-05,1013.6083131082052
2001-06-06,1017.3596354533303
2001-06-07,1022.6519002313565
2001-06-08,1030.449197689408
2001-06-11,1019.4231808289014
2001-06-12,1012.6229490851543
2001-06-13,1031.9732095006543
2001-06-14,1037.095361277146
2001-06-15,1043.7362904845031
2001-06-18,1048.5112174158228
2001-06-19,1042.711072800448
2001-06-20,1035.7380739638213
2001-06-21,1042.9532562695704
2001-06-22,1065.2777440389432
2001-06-25,1066.5216016811187
2001-06-26,1068.440414986111
2001-06-27,1063.5507828001148
2001-06-28,1059.267546265661
2001-06-29,1072.814793831552
2001-07-02,1055.0786537115064
2001-07-03,1052.1553309225587
2001-07-04,1044.1794810021631
2001-07-05,1039.853519488051
2001-07-06,1025.0611107981304
2001-07-09,1020.4915824672125
2001-07-10,1028.4160681003082
2001-07-11,1019.5363216781218
2001-07-12,1028.9808338328705
2001-07-13,1020.5640408166624
2001-07-16,1023.3125054436593
2001-07-17,1015.1741136109298
2001-07-18,1010.0656851800632
2001-07-19,1013.3728494706359
2001-07-20,1023.4934444984225
2001-07-23,1017.6770527209225
2001-07-24,1023.5967687814765
2001-07-25,1022.8907160568979
2001-07-26,1032.7728297974143
2001-07-27,1036.186900051765
2001-07-30,1039.6290062088183
2001-07-31,1048.036583627218
2001-08-01,1047.4549493142501
2001-08-02,1054.6877922802134
2001-08-03,1048.961907343627
2001-08-06,1048.6296493780155
2001-08-07,1051.8869835142225
2001-08-08,1046.9741490912481
2001-08-09,1047.0317186280888
2001-08-10,1058.102615649532
2001-08-13,1051.0322537366653
2001-08-14,1059.1507607217563
2001-08-15,1065.1674440961785
2001-08-16,1061.3763804210103
2001-08-17,1054.8980424665422
2001-08-20,1043.604796078971
2001-08-21,1059.3906742170027
2001-08-22,1061.16051980385
2001-08-23,1064.8283047238433
2001-08-24,1060.6772091229361
2001-08-27,1070.1803355073966
2001-08-28,1062.6421356613437
2001-08-29,1069.6134007007668
2001-08-30,1048.0718157858355
2001-08-31,1055.0248287268043
2001-09-03,1052.8079542486832
2001-09-04,1051.333542200074
2001-09-05,1050.350597526493
2001-09-06,1043.754213160555
2001-09-07,1031.0387017429523
2001-09-10,1019.5628954111446
2001-09-11,1024.8247168822402
2001-09-12,984.1080514132583
2001-09-13,978.0626794084412
2001-09-14,949.2922894772748
2001-09-17,896.5972110605942
2001-09-18,895.0816806757977
2001-09-19,907.7170209860806
2001-09-20,892.0196074514819
2001-09-21,844.0762524454578
2001-09-24,862.6506594250402
2001-09-25,856.1617464843405
2001-09-26,872.5130475425805
2001-09-27,896.1185093767554
2001-09-28,909.4818342310276
2001-10-01,909.0362317273064
2001-10-02,906.1284194689848
2001-10-03,901.5243658151012
2001-10-04,923.4079966924194
2001-10-05,920.8248735982255
2001-10-08,897.4655702035346
2001-10-09,921.9012016543262
2001-10-10,906.4193175735958
2001-10-11,921.3164779212709
2001-10-12,930.2473520445278
2001-10-15,933.688972665537
2001-10-16,933.092354028642
2001-10-17,944.7967734154458
2001-10-18,924.9011087826027
2001-10-19,914.8883256352399
2001-10-22,908.996039884408
2001-10-23,920.8339503677097
2001-10-24,927.3963206242225
2001-10-25,925.0401831487925
