Date,UK VALUE WEIGHTED
1992-05-29,277.6816518
1992-06-30,263.6618458
1992-07-31,251.7598735
1992-08-31,250.0307165
1992-09-30,244.2882714
1992-10-30,225.4624928
1992-11-30,228.8662674
1992-12-31,241.3322981
1993-01-29,240.7633092
1993-02-26,237.2723722
1993-03-31,257.389512
1993-04-30,267.9907048
1993-05-31,270.9662089
1993-06-30,268.7466266
1993-07-30,268.9092449
1993-08-31,288.3229758
1993-09-30,285.0791687
1993-10-29,296.1526428
1993-11-30,297.9103982
1993-12-31,321.551975
1994-01-31,337.0892152
1994-02-28,321.5020536
1994-03-31,299.7047197
1994-04-29,309.6358042
1994-05-31,295.4620845
1994-06-30,298.3237553
1994-07-29,315.1779474
1994-08-31,334.6725563
1994-09-30,320.5850588
1994-10-31,339.8592073
1994-11-30,325.2738984
1994-12-30,327.8003167
1995-01-31,322.8848385
1995-02-28,325.6829395
1995-03-31,352.2396146
1995-04-28,357.7990783
1995-05-31,367.7792686
1995-06-30,367.3795563
1995-07-31,389.0911653
1995-08-31,380.9573075
1995-09-29,393.2336386
1995-10-31,392.7396529
1995-11-30,396.0051369
1995-12-29,408.9211233
1996-01-31,407.1882267
1996-02-29,410.3513636
1996-03-29,410.764416
1996-04-30,417.8389006
1996-05-31,424.289313
1996-06-28,421.0993526
1996-07-31,425.9924414
1996-08-30,450.2397172
1996-09-30,460.3077769
1996-10-31,482.5772927
1996-11-29,512.9493798
1996-12-31,536.1057535
1997-01-01,536.1057535
1997-01-02,522.5010599
1997-01-03,527.6782992
1997-01-06,528.3960108
1997-01-07,529.0489752
1997-01-08,527.787354
1997-01-09,528.7162206
1997-01-10,520.7959711
1997-01-13,523.7308181
1997-01-14,531.5633047
1997-01-15,533.5248709
1997-01-16,537.6165397
1997-01-17,536.8996757
1997-01-20,532.8543825
1997-01-21,532.9728272
1997-01-22,532.7760456
1997-01-23,529.8003021
1997-01-24,523.6006046
1997-01-27,520.9702957
1997-01-28,518.5042738
1997-01-29,517.8781397
1997-01-30,518.3356334
1997-01-31,519.1415111
1997-02-03,520.2775452
1997-02-04,523.2168971
1997-02-05,529.5842537
1997-02-06,527.7605333
1997-02-07,530.2721608
1997-02-10,533.4935404
1997-02-11,535.9155008
1997-02-12,532.3785194
1997-02-13,529.9670303
1997-02-14,531.3837181
1997-02-17,530.0608155
1997-02-18,524.7500129
1997-02-19,530.6309525
1997-02-20,530.7242048
1997-02-21,531.4442321
1997-02-24,538.4459749
1997-02-25,541.3190204
1997-02-26,538.6934149
1997-02-27,537.7252546
1997-02-28,535.5861141
1997-03-03,532.4848686
1997-03-04,537.5070046
1997-03-05,535.7443678
1997-03-06,541.0971926
1997-03-07,541.1985752
1997-03-10,542.3963475
1997-03-11,544.4189631
1997-03-12,538.2834117
1997-03-13,537.2418347
1997-03-14,541.4942722
1997-03-17,534.2533753
1997-03-18,533.1357465
1997-03-19,533.7320867
1997-03-20,523.4748883
1997-03-21,525.9626798
1997-03-24,524.7409792
1997-03-25,533.605699
1997-03-26,539.3599484
1997-03-27,541.3106045
1997-03-28,542.7219971
1997-03-31,545.2957131
1997-04-01,539.1617359
1997-04-02,537.6367092
1997-04-03,535.0543427
1997-04-04,537.9618474
1997-04-07,539.4122871
1997-04-08,537.2888998
1997-04-09,539.8604163
1997-04-10,542.8288303
1997-04-11,538.2333139
1997-04-14,536.7053011
1997-04-15,541.9097362
1997-04-16,542.1776649
1997-04-17,544.4590046
1997-04-18,545.9073017
1997-04-21,549.3472404
1997-04-22,551.4461456
1997-04-23,551.556446
1997-04-24,552.0850643
1997-04-25,548.572305
1997-04-28,551.7341556
1997-04-29,559.6241662
1997-04-30,556.3988875
1997-05-01,558.0843498
1997-05-02,557.7999434
1997-05-05,558.7651145
1997-05-06,571.7635684
1997-05-07,573.6370617
1997-05-08,572.5586754
1997-05-09,578.9445473
1997-05-12,585.3964655
1997-05-13,589.1722846
1997-05-14,591.3361259
1997-05-15,590.0410361
1997-05-16,591.3308608
1997-05-19,587.3668277
1997-05-20,585.0195093
1997-05-21,589.541179
1997-05-22,586.1714631
1997-05-23,586.7827257
1997-05-26,590.2744087
1997-05-27,589.0762988
1997-05-28,591.1895279
1997-05-29,590.661283
1997-05-30,583.9100735
1997-06-02,576.9988901
1997-06-03,577.7091345
1997-06-04,575.0464473
1997-06-05,578.3088243
1997-06-06,584.5604283
1997-06-09,592.0622371
1997-06-10,599.5715839
1997-06-11,597.7201208
1997-06-12,601.2680928
1997-06-13,605.5469037
1997-06-16,602.0425958
1997-06-17,594.5276582
1997-06-18,592.4302199
1997-06-19,594.4664726
1997-06-20,589.9553149
1997-06-23,591.1725205
1997-06-24,593.9672454
1997-06-25,598.017671
1997-06-26,601.766597
1997-06-27,597.882098
1997-06-30,594.2692696
1997-07-01,605.7951837
1997-07-02,605.8421312
1997-07-03,626.954902
1997-07-04,624.3365211
1997-07-07,622.0925051
1997-07-08,619.3218042
1997-07-09,618.8091144
1997-07-10,620.3163975
1997-07-11,625.4834612
1997-07-14,630.5178134
1997-07-15,631.4329971
1997-07-16,639.1990423
1997-07-17,638.1567699
1997-07-18,631.4435509
1997-07-21,623.926906
1997-07-22,627.5507607
1997-07-23,633.5907608
1997-07-24,628.8800792
1997-07-25,624.645286
1997-07-28,614.1603173
1997-07-29,615.1618845
1997-07-30,620.3879753
1997-07-31,620.1223373
1997-08-01,618.4695009
1997-08-04,615.6762885
1997-08-05,621.5371608
1997-08-06,618.9013456
1997-08-07,624.6896473
1997-08-08,618.1471715
1997-08-11,627.889853
1997-08-12,628.9254414
1997-08-13,621.3284475
1997-08-14,622.5998036
1997-08-15,619.0265287
1997-08-18,616.2920246
1997-08-19,621.9563089
1997-08-20,621.5817193
1997-08-21,622.3186247
1997-08-22,622.4443452
1997-08-25,621.9984127
1997-08-26,623.3237726
1997-08-27,625.3093426
1997-08-28,619.5336795
1997-08-29,618.4126467
1997-09-01,620.7599706
1997-09-02,622.1585454
1997-09-03,620.8608058
1997-09-04,623.8424813
1997-09-05,623.8667264
1997-09-08,622.0546171
1997-09-09,621.6943835
1997-09-10,614.7261274
1997-09-11,609.6032863
1997-09-12,616.0184703
1997-09-15,620.7088069
1997-09-16,623.6408672
1997-09-17,631.2267827
1997-09-18,640.3380679
1997-09-19,636.3140029
