Date,EAFE EQUAL WEIGHTED
1994-06-30,903.68835479
1994-07-29,926.53917619
1994-08-31,951.34992925
1994-09-30,925.4290189
1994-10-31,945.12377047
1994-11-30,897.51372963
1994-12-30,897.41425437
1995-01-31,863.33054236
1995-02-28,866.77681967
1995-03-31,899.17235022
1995-04-28,929.1438148
1995-05-31,930.94844942
1995-06-30,915.56834089
1995-07-31,971.55244679
1995-08-31,938.39720912
1995-09-29,946.07990593
1995-10-31,912.52413655
1995-11-30,925.92099081
1995-12-29,960.80218488
1996-01-31,984.36208337
1996-02-29,1000.1575086
1996-03-29,1020.93664148
1996-04-30,1062.13626599
1996-05-31,1046.08356582
1996-06-28,1046.85331258
1996-07-31,1013.34854463
1996-08-30,1019.66019981
1996-09-30,1038.86142154
1996-10-31,1030.96325351
1996-11-29,1060.79138338
1996-12-31,1051.84409186
1997-01-01,1051.84409186
1997-01-02,1044.92247328
1997-01-03,1044.55710628
1997-01-06,1049.8809226
1997-01-07,1045.76702719
1997-01-08,1042.40125939
1997-01-09,1034.76188811
1997-01-10,1023.26601388
1997-01-13,1037.02318864
1997-01-14,1039.13837102
1997-01-15,1042.24308682
1997-01-16,1047.97310248
1997-01-17,1045.27939657
1997-01-20,1035.448252
1997-01-21,1028.93884922
1997-01-22,1032.9956724
1997-01-23,1030.12627221
1997-01-24,1025.40185065
1997-01-27,1015.92589586
1997-01-28,1015.23941517
1997-01-29,1017.7459109
1997-01-30,1017.03648805
1997-01-31,1029.1983805
1997-02-03,1026.51352884
1997-02-04,1027.47247361
1997-02-05,1026.67076296
1997-02-06,1025.65889167
1997-02-07,1020.5842643
1997-02-10,1031.78387291
1997-02-11,1027.73822048
1997-02-12,1029.28447355
1997-02-13,1031.79315911
1997-02-14,1035.40907275
1997-02-17,1032.73818402
1997-02-18,1029.71284989
1997-02-19,1031.49359472
1997-02-20,1041.23665615
1997-02-21,1045.09310412
1997-02-24,1050.80799034
1997-02-25,1056.37319167
1997-02-26,1049.66851284
1997-02-27,1049.77866498
1997-02-28,1044.78460436
1997-03-03,1039.50078085
1997-03-04,1039.17782132
1997-03-05,1037.18757641
1997-03-06,1036.01524823
1997-03-07,1037.73022226
1997-03-10,1042.93327274
1997-03-11,1046.67756827
1997-03-12,1038.14350737
1997-03-13,1030.35373326
1997-03-14,1031.28887657
1997-03-17,1026.94769928
1997-03-18,1029.12359711
1997-03-19,1031.32258414
1997-03-20,1018.60109894
1997-03-21,1026.83740192
1997-03-24,1019.62166643
1997-03-25,1027.20739523
1997-03-26,1033.09993162
1997-03-27,1037.13932187
1997-03-28,1036.69478378
1997-03-31,1036.09256824
1997-04-01,1021.56115296
1997-04-02,1023.1222624
1997-04-03,1017.58689429
1997-04-04,1011.42439848
1997-04-07,1001.92539783
1997-04-08,1005.49963868
1997-04-09,1002.07653645
1997-04-10,997.64984144
1997-04-11,998.02872554
1997-04-14,990.14686354
1997-04-15,995.35695905
1997-04-16,1000.81804956
1997-04-17,1006.64214241
1997-04-18,1012.71254211
1997-04-21,1022.92139324
1997-04-22,1020.15372524
1997-04-23,1025.57452782
1997-04-24,1022.59385971
1997-04-25,1016.8745663
1997-04-28,1013.81078321
1997-04-29,1016.61112797
1997-04-30,1025.48779093
1997-05-01,1033.21942374
1997-05-02,1035.69945046
1997-05-05,1038.31847176
1997-05-06,1056.88698412
1997-05-07,1058.27218732
1997-05-08,1061.83183059
1997-05-09,1069.81911652
1997-05-12,1086.37889665
1997-05-13,1088.77102228
1997-05-14,1092.74616173
1997-05-15,1097.15400225
1997-05-16,1106.47238893
1997-05-19,1102.23179857
1997-05-20,1110.90522426
1997-05-21,1109.26743015
1997-05-22,1103.05756224
1997-05-23,1108.14317709
1997-05-26,1106.81870546
1997-05-27,1100.10034818
1997-05-28,1106.65034283
1997-05-29,1104.7372142
1997-05-30,1091.94739187
