Date,WORLD ex USA IMI HIGH DIVIDEND YIELD
2010-05-26,1000.0
2010-05-27,1029.3186610790797
2010-05-28,1033.794353801223
2010-05-31,1032.9799632598845
2010-06-01,1031.4216164444915
2010-06-02,1027.7695013210923
2010-06-03,1044.0843747809752
2010-06-04,1019.4894654068141
2010-06-07,1002.423513981997
2010-06-08,993.4401976639535
2010-06-09,1010.3770443294062
2010-06-10,1024.2106655204627
2010-06-11,1032.943736692903
2010-06-14,1052.743289057857
2010-06-15,1060.1246287391723
2010-06-16,1063.6050642586893
2010-06-17,1066.5804642962094
2010-06-18,1066.6858454114652
2010-06-21,1074.4776644530727
2010-06-22,1061.7097618491214
2010-06-23,1048.87531100163
2010-06-24,1042.6523392133488
2010-06-25,1034.2100728143962
2010-06-28,1046.661038257287
2010-06-29,1012.1033391352966
2010-06-30,1016.4454784914702
2010-07-01,1011.5256587959764
2010-07-02,1021.4977482609746
2010-07-05,1014.6070084737555
2010-07-06,1043.8582921857735
2010-07-07,1053.3169804614638
2010-07-08,1067.673777929527
2010-07-09,1069.7661334223446
2010-07-12,1072.0328643733233
2010-07-13,1093.3294668982473
2010-07-14,1099.6757124948138
2010-07-15,1104.1240287417147
2010-07-16,1091.1455865395205
2010-07-19,1082.7357198068796
2010-07-20,1077.6526685930105
2010-07-21,1080.3784279448507
2010-07-22,1101.9501640697827
2010-07-23,1101.6836305859767
2010-07-26,1113.9989972546061
2010-07-27,1116.0895963915748
2010-07-28,1115.2741339494844
2010-07-29,1122.432934295312
2010-07-30,1115.6292974917249
2010-08-02,1150.0409214514625
2010-08-03,1154.879737601105
2010-08-04,1153.2913559079052
2010-08-05,1152.2554456015482
2010-08-06,1154.2656800549119
2010-08-09,1166.4793231307522
2010-08-10,1147.654935870939
2010-08-11,1116.886572130635
2010-08-12,1113.6299406494404
2010-08-13,1113.2785317257997
2010-08-16,1116.3544569814346
2010-08-17,1125.9654054991095
2010-08-18,1122.9939622090867
2010-08-19,1110.3147184463817
2010-08-20,1092.413775141362
2010-08-23,1098.1902917566176
2010-08-24,1084.894613996025
2010-08-25,1075.1138141498539
2010-08-26,1090.0161635635736
2010-08-27,1098.2765747634166
2010-08-30,1099.4321146520485
2010-08-31,1097.6648967586468
2010-09-01,1129.3335761403605
2010-09-02,1131.1141903158607
2010-09-03,1142.649582178629
2010-09-06,1148.4990358637256
2010-09-07,1136.3083668956351
2010-09-08,1147.766866091363
2010-09-09,1154.5895356993485
2010-09-10,1153.6205746607475
2010-09-13,1169.8047456443555
2010-09-14,1176.386393115392
2010-09-15,1178.0920718239233
2010-09-16,1177.3901813043697
2010-09-17,1168.8719524517037
2010-09-20,1185.0408466449785
2010-09-21,1183.49165780625
2010-09-22,1189.833075877217
2010-09-23,1185.206511064083
2010-09-24,1203.9447070068973
2010-09-27,1202.376612054975
2010-09-28,1205.2438189115958
2010-09-29,1205.6125821414357
2010-09-30,1204.1573045683954
2010-10-01,1212.3641100862333
2010-10-04,1203.3002485625973
2010-10-05,1226.9245553873816
2010-10-06,1235.9223705759487
2010-10-07,1243.3722701239437
2010-10-08,1243.1376910377337
2010-10-11,1245.4242835811308
2010-10-12,1235.2819178915518
2010-10-13,1259.9619332644868
2010-10-14,1269.9586903157617
2010-10-15,1266.1701522381522
2010-10-18,1268.886929134574
2010-10-19,1247.923852062967
2010-10-20,1263.6792538416573
2010-10-21,1267.224347551968
2010-10-22,1258.1150266450898
2010-10-25,1266.0149215720369
2010-10-26,1259.1614441304703
2010-10-27,1242.1944436610254
2010-10-28,1261.0283984245793
2010-10-29,1265.074930465173
2010-11-01,1267.5080681847778
2010-11-02,1284.4817406711165
2010-11-03,1279.6082041485472
2010-11-04,1308.4182168188618
2010-11-05,1301.9759547178578
2010-11-08,1290.7437751425598
2010-11-09,1294.289125177946
2010-11-10,1270.969204937878
2010-11-11,1266.442318189341
2010-11-12,1262.0149297828848
2010-11-15,1261.1179032098935
2010-11-16,1234.2174176653932
2010-11-17,1237.9112555548606
2010-11-18,1256.6457105252346
2010-11-19,1256.3517436359962
2010-11-22,1246.6546566348752
2010-11-23,1215.7724039809693
2010-11-24,1219.2073675276017
2010-11-25,1220.328559363271
2010-11-26,1204.4981706830729
2010-11-29,1176.6797397776622
2010-11-30,1169.6501930206773
2010-12-01,1189.9612486915455
2010-12-02,1209.7654656529082
2010-12-03,1222.8747177205114
2010-12-06,1218.0594613339726
2010-12-07,1232.047199370862
2010-12-08,1226.9380062873088
2010-12-09,1229.5219950149192
2010-12-10,1234.0487487912103
2010-12-13,1250.1665485584201
2010-12-14,1255.4323229957183
2010-12-15,1249.6038652162756
2010-12-16,1243.6643423556095
2010-12-17,1235.3724620325609
2010-12-20,1238.2589188037089
2010-12-21,1250.220373653175
2010-12-22,1250.3774523212621
2010-12-23,1251.2864611121124
2010-12-24,1254.9910410388502
2010-12-27,1249.4122721345489
2010-12-28,1251.7259454930252
2010-12-29,1256.4426495308905
2010-12-30,1253.5709568599275
2010-12-31,1260.5155822049444
2011-01-03,1262.0183947751584
2011-01-04,1266.8822132502512
2011-01-05,1253.7789049678458
2011-01-06,1250.771897874958
2011-01-07,1244.517713721237
2011-01-10,1234.121192766299
2011-01-11,1238.3147730300363
2011-01-12,1259.1634380757564
2011-01-13,1278.9368009391353
2011-01-14,1280.5541937017908
2011-01-17,1278.4098571610314
2011-01-18,1294.9742279449993
2011-01-19,1293.2980843317239
2011-01-20,1276.3638212655433
2011-01-21,1297.911285074563
2011-01-24,1312.2243971533733
2011-01-25,1302.341852080334
2011-01-26,1310.8064177777114
2011-01-27,1313.122976531229
2011-01-28,1295.4835176505328
2011-01-31,1300.8195674336835
2011-02-01,1328.261776371149
2011-02-02,1333.34212997841
2011-02-03,1321.7735648139753
2011-02-04,1319.37862622778
2011-02-07,1328.7010481461318
2011-02-08,1335.4811682487707
2011-02-09,1333.1772908547118
2011-02-10,1323.2408945669295
2011-02-11,1316.9337459555761
2011-02-14,1312.0733439811497
2011-02-15,1318.5244038375188
2011-02-16,1324.211387329671
2011-02-17,1334.2288392289074
2011-02-18,1344.41407112727
2011-02-21,1334.502735308959
2011-02-22,1323.881322095303
2011-02-23,1319.9764563997633
2011-02-24,1315.6580370246554
2011-02-25,1324.180053217307
2011-02-28,1339.5960454414424
2011-03-01,1336.8110312927092
2011-03-02,1332.7306256301076
2011-03-03,1340.6348714247217
2011-03-04,1342.8778655364474
2011-03-07,1339.7179011496153
2011-03-08,1333.54243121688
2011-03-09,1332.4730311047817
2011-03-10,1311.6159779085676
2011-03-11,1304.4321883003176
2011-03-14,1295.826549725535
2011-03-15,1263.8315694262567
2011-03-16,1248.5798908986976
2011-03-17,1276.5760705348607
2011-03-18,1284.9976904232713
2011-03-21,1309.8541177746754
2011-03-22,1314.6820370549583
2011-03-23,1309.9829012287514
2011-03-24,1324.0258557205977
2011-03-25,1325.2211054278
2011-03-28,1322.7857366547582
2011-03-29,1322.924990600692
2011-03-30,1336.4059708634195
2011-03-31,1335.9641035354048
2011-04-01,1345.335773492589
2011-04-04,1355.8566518757773
2011-04-05,1356.9862420709014
2011-04-06,1369.5319284140228
2011-04-07,1362.4611143252755
2011-04-08,1379.0487742249713
2011-04-11,1379.6225132207712
2011-04-12,1363.6732036571584
2011-04-13,1373.05946234007
2011-04-14,1366.2006820222546
2011-04-15,1368.069651535689
2011-04-18,1333.0563141378677
2011-04-19,1344.505258832139
2011-04-20,1382.7054986029957
2011-04-21,1389.189049042359
2011-04-22,1388.6218877719116
2011-04-25,1384.7233185032271
2011-04-26,1396.761132701261
2011-04-27,1406.0835330957336
2011-04-28,1427.0855904040966
2011-04-29,1431.4386009006432
2011-05-02,1437.513779394937
2011-05-03,1429.344792786923
2011-05-04,1417.6369773560225
2011-05-05,1394.6606314384837
2011-05-06,1398.121126919816
2011-05-09,1376.1454111508021
2011-05-10,1392.936330200227
2011-05-11,1395.761318893379
2011-05-12,1377.3425515886922
2011-05-13,1373.4863807161257
2011-05-16,1370.9592057515854
2011-05-17,1356.967650695113
2011-05-18,1368.3458169458997
2011-05-19,1378.2788340032253
2011-05-20,1369.0035702688172
2011-05-23,1340.5424206290327
2011-05-24,1348.015645581273
2011-05-25,1349.9620812870317
2011-05-26,1354.3440683607282
2011-05-27,1372.7867782210337
2011-05-30,1372.461445226262
2011-05-31,1389.7804387359974
2011-06-01,1380.8999694340405
2011-06-02,1364.6160181567466
2011-06-03,1368.413894935634
2011-06-06,1364.650322477223
2011-06-07,1371.7847108167919
2011-06-08,1356.8359056706365
2011-06-09,1358.8091259742591
2011-06-10,1333.0243321597372
2011-06-13,1336.2895798172008
2011-06-14,1353.2377249445613
2011-06-15,1326.9270647512824
2011-06-16,1307.7289590877922
2011-06-17,1322.171463246637
2011-06-20,1318.0455408961504
2011-06-21,1337.333471871057
2011-06-22,1338.1791610987661
2011-06-23,1304.9341672709465
2011-06-24,1305.2044136601457
2011-06-27,1310.0993972947595
2011-06-28,1319.064635467108
2011-06-29,1343.0958091723378
2011-06-30,1365.914986214048
2011-07-01,1369.3651175100986
2011-07-04,1374.911812011707
2011-07-05,1371.796534734457
2011-07-06,1359.1347696631433
2011-07-07,1368.4625773456753
2011-07-08,1356.996533810136
2011-07-11,1323.2799745832722
2011-07-12,1313.7121526495541
2011-07-13,1334.386196506781
2011-07-14,1325.0325121642234
2011-07-15,1321.5137426487393
2011-07-18,1300.462754172255
2011-07-19,1321.8727003797346
2011-07-20,1335.7402510168934
2011-07-21,1361.632929871703
2011-07-22,1368.9348982634165
2011-07-25,1363.9178568238199
2011-07-26,1373.9895940996435
2011-07-27,1355.8541605526914
2011-07-28,1350.6136700813756
2011-07-29,1349.2985104011639
2011-08-01,1327.0599204811765
2011-08-02,1310.4336155946398
2011-08-03,1299.6270946128448
2011-08-04,1257.9854100573978
2011-08-05,1233.2009990849451
2011-08-08,1193.3285781450966
2011-08-09,1200.1104053927538
2011-08-10,1168.0072509639422
2011-08-11,1196.764094685422
2011-08-12,1228.2280577059632
2011-08-15,1251.9245533680437
2011-08-16,1248.9260109053482
2011-08-17,1261.2452696720404
2011-08-18,1211.7225598179675
2011-08-19,1200.8502377290256
2011-08-22,1212.6094470298087
2011-08-23,1229.3113874405376
2011-08-24,1241.3668363880408
2011-08-25,1219.5576840403332
2011-08-26,1212.510476499826
2011-08-29,1237.3101565586117
2011-08-30,1237.4488816837331
2011-08-31,1264.7045166387957
2011-09-01,1263.8611449994364
2011-09-02,1238.3719101962563
