Date,PACIFIC ex JAPAN HIGH DIVIDEND YIELD
1994-06-30,783.04624021
1994-07-29,819.22715758
1994-08-31,859.50893785
1994-09-30,826.12226199
1994-10-31,837.83812591
1994-11-30,775.95626219
1994-12-30,774.50860438
1995-01-31,724.37031857
1995-02-28,773.82691283
1995-03-31,777.86544127
1995-04-28,804.2333101
1995-05-31,824.11387158
1995-06-30,819.85568464
1995-07-31,862.9037602
1995-08-31,848.59367733
1995-09-29,873.41862076
1995-10-31,872.36784303
1995-11-30,881.69869902
1995-12-29,902.07799606
1996-01-31,984.19177983
1996-02-29,992.71599429
1996-03-29,990.33167032
1996-04-30,1014.68549087
1996-05-31,1030.04051382
1996-06-28,1019.16111411
1996-07-31,980.12229449
1996-08-30,1026.69288637
1996-09-30,1064.90762095
1996-10-31,1107.09561548
1996-11-29,1188.35942521
1996-12-31,1197.18918778
1997-01-01,1197.18918778
1997-01-02,1184.67778478
1997-01-03,1183.25309035
1997-01-06,1190.18739257
1997-01-07,1183.73607502
1997-01-08,1178.85531654
1997-01-09,1177.25790204
1997-01-10,1176.83962645
1997-01-13,1177.24851749
1997-01-14,1177.19694609
1997-01-15,1186.71474366
1997-01-16,1186.87081074
1997-01-17,1192.09659202
1997-01-20,1191.97792988
1997-01-21,1182.11213938
1997-01-22,1182.19940564
1997-01-23,1175.13072122
1997-01-24,1165.32891105
1997-01-27,1162.84390014
1997-01-28,1158.99582757
1997-01-29,1166.9570763
1997-01-30,1167.56286445
1997-01-31,1169.99769418
1997-02-03,1177.15537123
1997-02-04,1166.67685565
1997-02-05,1173.4702945
1997-02-06,1176.76426645
1997-02-07,1177.86462343
1997-02-10,1173.83183589
1997-02-11,1174.45613356
1997-02-12,1178.18943962
1997-02-13,1189.65473451
1997-02-14,1179.46014716
1997-02-17,1185.84932675
1997-02-18,1187.67734928
1997-02-19,1184.89721043
1997-02-20,1197.35005469
1997-02-21,1199.49461915
1997-02-24,1203.00481087
1997-02-25,1209.69497118
1997-02-26,1204.23480764
1997-02-27,1202.29080807
1997-02-28,1192.26515977
1997-03-03,1198.69420577
1997-03-04,1203.29905383
1997-03-05,1200.34965883
1997-03-06,1204.42425323
1997-03-07,1206.73281629
1997-03-10,1209.80668764
1997-03-11,1214.60828263
1997-03-12,1207.99558419
1997-03-13,1201.40728845
1997-03-14,1191.66789287
1997-03-17,1196.03487765
1997-03-18,1181.19662788
1997-03-19,1175.08336237
1997-03-20,1172.07445656
1997-03-21,1169.02263587
1997-03-24,1174.35185138
1997-03-25,1171.57193578
1997-03-26,1170.2691395
1997-03-27,1171.48057461
1997-03-28,1172.69463349
1997-03-31,1171.87600094
1997-04-01,1146.94162561
1997-04-02,1148.16953589
1997-04-03,1143.45812826
1997-04-04,1142.285832
1997-04-07,1144.45578164
1997-04-08,1154.74913419
1997-04-09,1164.22257391
1997-04-10,1163.84496888
1997-04-11,1168.02868326
1997-04-14,1154.0521605
1997-04-15,1157.22669077
1997-04-16,1164.98441718
1997-04-17,1167.68905795
1997-04-18,1175.93637637
1997-04-21,1179.87298102
1997-04-22,1180.94858358
1997-04-23,1189.61158529
1997-04-24,1186.74275597
1997-04-25,1185.11649536
1997-04-28,1183.94652561
1997-04-29,1189.0825751
1997-04-30,1197.52682022
1997-05-01,1200.80687281
1997-05-02,1206.27309348
1997-05-05,1205.21284581
1997-05-06,1216.71118113
1997-05-07,1217.25161604
1997-05-08,1220.10216677
1997-05-09,1229.60958225
1997-05-12,1231.64136312
1997-05-13,1229.74820792
1997-05-14,1238.26485702
1997-05-15,1230.35948581
1997-05-16,1231.7241733
1997-05-19,1228.69259015
1997-05-20,1228.62449407
1997-05-21,1240.21761319
1997-05-22,1241.00510843
1997-05-23,1234.41871788
1997-05-26,1249.54436613
1997-05-27,1250.58536809
1997-05-28,1250.26004498
1997-05-29,1249.07122249
1997-05-30,1258.8681114
1997-06-02,1270.04599729
1997-06-03,1266.96044138
1997-06-04,1267.39686979
1997-06-05,1271.36843809
1997-06-06,1275.73884811
1997-06-09,1277.42259188
1997-06-10,1277.743559
1997-06-11,1275.64358066
1997-06-12,1254.98530813
1997-06-13,1264.82861703
1997-06-16,1276.27039196
1997-06-17,1280.3040369
1997-06-18,1284.46793053
1997-06-19,1296.23788719
1997-06-20,1325.72499399
1997-06-23,1320.6993233
1997-06-24,1311.95734143
1997-06-25,1316.25485409
1997-06-26,1324.26245659
1997-06-27,1321.53535339
1997-06-30,1336.37313471
1997-07-01,1339.24932563
1997-07-02,1344.3974928
1997-07-03,1346.03148308
1997-07-04,1324.63207038
1997-07-07,1315.2662602
1997-07-08,1311.98202546
1997-07-09,1307.77034071
1997-07-10,1309.4144113
1997-07-11,1321.74510933
1997-07-14,1312.02856779
1997-07-15,1307.54404689
1997-07-16,1305.89706344
1997-07-17,1315.4595506
1997-07-18,1319.88259224
1997-07-21,1318.78354311
1997-07-22,1313.61054263
1997-07-23,1329.43339572
1997-07-24,1328.74670938
