Date,KOKUSAI MINIMUM VOLATILITY (JPY)
1988-05-31,233.28269495
1988-06-30,234.34496561
1988-07-29,233.39401759
1988-08-31,227.8459653
1988-09-30,238.26182759
1988-10-31,253.70262485
1988-11-30,254.31403097
1988-12-30,257.34213545
1989-01-31,267.20135973
1989-02-28,264.34385478
1989-03-31,268.30587979
1989-04-28,279.24874831
1989-05-31,280.36134598
1989-06-30,290.82564599
1989-07-31,315.81595116
1989-08-31,316.84469539
1989-09-29,323.56921026
1989-10-31,318.3604359
1989-11-30,330.48506346
1989-12-29,351.97697894
1990-01-31,341.86411262
1990-02-28,343.24975575
1990-03-30,349.7755818
1990-04-30,336.59969798
1990-05-31,356.50165706
1990-06-29,360.36477286
1990-07-31,372.41725485
1990-08-31,337.12454988
1990-09-28,313.07281446
1990-10-31,332.34189507
1990-11-30,337.14415844
1990-12-31,338.8148789
1991-01-31,342.73534533
1991-02-28,366.564627
1991-03-29,355.13893002
1991-04-30,353.32300388
1991-05-31,359.12818145
1991-06-28,343.50813455
1991-07-31,359.70716513
1991-08-30,363.56986948
1991-09-30,372.22337044
1991-10-31,373.43033883
1991-11-29,370.12881871
1991-12-31,399.00855747
1992-01-31,389.37339828
1992-02-28,387.33842194
1992-03-31,375.43348788
1992-04-30,386.04843807
1992-05-29,398.04427421
1992-06-30,400.41338831
1992-07-31,405.76592764
1992-08-31,402.89090966
1992-09-30,395.816095
1992-10-30,386.03081751
1992-11-30,388.15320365
1992-12-31,394.11319143
1993-01-29,400.3671041
1993-02-26,409.92380337
1993-03-31,421.64769996
1993-04-30,422.18823913
1993-05-31,424.99971242
1993-06-30,426.6793819
1993-07-30,430.35627568
1993-08-31,452.15272936
1993-09-30,445.16814222
1993-10-29,461.17389471
1993-11-30,446.90361134
1993-12-31,469.90664955
1994-01-31,488.01820022
1994-02-28,470.0879891
1994-03-31,458.88566556
1994-04-29,466.49668751
1994-05-31,456.18610024
1994-06-30,449.60393319
1994-07-29,468.57637806
1994-08-31,478.19640639
1994-09-30,474.55988855
1994-10-31,481.5069284
1994-11-30,464.94895091
1994-12-30,473.91024724
1995-01-31,478.7565341
1995-02-28,491.27827449
1995-03-31,510.4542349
1995-04-28,527.45408287
1995-05-31,542.1077177
1995-06-30,550.52551171
1995-07-31,568.9808513
1995-08-31,561.1922803
1995-09-29,582.02787022
1995-10-31,583.07276518
1995-11-30,594.99879847
1995-12-29,616.688223
1996-01-31,630.44656156
1996-02-29,632.11252769
1996-03-29,637.35869255
1996-04-30,641.70263653
1996-05-31,652.48310207
1996-06-28,659.41551102
1996-07-31,643.13834568
1996-08-30,655.91819903
1996-09-30,667.90659522
1996-10-31,675.29651654
1996-11-29,707.7552727
1996-12-31,709.53940185
1997-01-01,709.53940185
1997-01-02,704.86203619
1997-01-03,706.68387877
1997-01-06,706.47609285
1997-01-07,707.9713931
1997-01-08,705.52188019
1997-01-09,709.10860751
1997-01-10,707.86614043
1997-01-13,711.33318048
1997-01-14,716.76511313
1997-01-15,719.53563638
1997-01-16,721.09977449
1997-01-17,720.90769032
1997-01-20,718.03967219
1997-01-21,718.31945581
1997-01-22,718.3699944
1997-01-23,717.6583604
1997-01-24,713.98144776
1997-01-27,710.3321543
1997-01-28,707.93436069
1997-01-29,709.65722126
1997-01-30,716.75001711
1997-01-31,720.95064772
1997-02-03,720.62546556
1997-02-04,722.45418611
1997-02-05,719.05633328
1997-02-06,717.44575558
1997-02-07,720.57391127
1997-02-10,722.38982068
1997-02-11,722.72550661
1997-02-12,727.25180393
1997-02-13,730.72226669
1997-02-14,731.50571803
1997-02-17,730.21682921
1997-02-18,733.06139589
1997-02-19,731.13539103
1997-02-20,729.06975206
1997-02-21,730.03898256
1997-02-24,734.65530824
1997-02-25,738.46283041
1997-02-26,732.44113585
1997-02-27,730.10461299
1997-02-28,727.94784312
1997-03-03,726.18125135
1997-03-04,726.59814258
1997-03-05,729.26187945
1997-03-06,730.38889418
1997-03-07,732.44310682
1997-03-10,739.25355532
1997-03-11,741.25104204
1997-03-12,735.39424301
1997-03-13,728.06882654
1997-03-14,732.49853433
1997-03-17,729.26222443
1997-03-18,726.19384173
1997-03-19,722.82523165
1997-03-20,715.32290305
1997-03-21,719.3255933
1997-03-24,718.97968927
1997-03-25,722.23154137
1997-03-26,723.68044541
1997-03-27,720.32907618
1997-03-28,720.51795692
1997-03-31,717.42970312
1997-04-01,708.97064796
1997-04-02,703.70015602
1997-04-03,698.3097657
1997-04-04,700.15297473
1997-04-07,702.11054316
1997-04-08,702.89237903
1997-04-09,702.78249879
1997-04-10,703.70100345
1997-04-11,692.50985225
1997-04-14,690.51703815
1997-04-15,696.36049465
1997-04-16,699.12396852
1997-04-17,699.1304317
1997-04-18,703.07627046
1997-04-21,702.36275946
1997-04-22,707.34879905
1997-04-23,707.58209856
1997-04-24,705.41292
1997-04-25,701.87048724
1997-04-28,704.59759935
1997-04-29,717.0913375
1997-04-30,720.23971766
1997-05-01,722.64739403
1997-05-02,728.80191605
1997-05-05,737.92591176
1997-05-06,741.20096772
1997-05-07,737.15816008
1997-05-08,741.99862545
1997-05-09,745.87300651
1997-05-12,753.36015144
1997-05-13,755.70520358
1997-05-14,759.61621413
1997-05-15,762.55663454
1997-05-16,761.77398417
1997-05-19,759.1647049
1997-05-20,760.21922538
1997-05-21,763.24150169
1997-05-22,759.1223795
1997-05-23,764.80843129
1997-05-26,764.59427949
1997-05-27,763.1302043
1997-05-28,762.37133994
1997-05-29,763.26296925
1997-05-30,760.49860878
1997-06-02,761.94440888
1997-06-03,763.61118684
1997-06-04,761.26343185
1997-06-05,764.01241391
1997-06-06,772.22769081
1997-06-09,777.60951746
1997-06-10,779.27176451
1997-06-11,782.4328108
1997-06-12,790.91984159
1997-06-13,795.84707729
1997-06-16,796.44636178
1997-06-17,791.18640981
1997-06-18,790.52111912
1997-06-19,795.31378207
1997-06-20,796.32819789
1997-06-23,791.41859288
1997-06-24,797.30824325
1997-06-25,798.58314841
1997-06-26,796.41018484
1997-06-27,794.69022493
1997-06-30,791.97526766
1997-07-01,800.54023101
1997-07-02,803.3923135
1997-07-03,812.54717983
1997-07-04,812.96020823
1997-07-07,815.3890927
1997-07-08,816.48023571
1997-07-09,813.31298074
1997-07-10,816.93045672
1997-07-11,816.01642427
1997-07-14,814.12917521
1997-07-15,816.08826319
1997-07-16,824.60141609
1997-07-17,820.93858353
1997-07-18,810.9442494
1997-07-21,805.68975913
1997-07-22,818.29283533
1997-07-23,821.01564592
1997-07-24,818.25392994
1997-07-25,815.95610827
1997-07-28,816.62631941
1997-07-29,818.59040154
1997-07-30,822.41085131
1997-07-31,825.03636537
1997-08-01,816.6696942
1997-08-04,813.18046834
1997-08-05,809.88929247
1997-08-06,815.04115004
1997-08-07,816.23443671
1997-08-08,807.90890664
1997-08-11,809.81520156
1997-08-12,806.43050202
1997-08-13,801.33982453
1997-08-14,798.08536069
1997-08-15,791.59414898
1997-08-18,789.97657906
1997-08-19,797.36520857
1997-08-20,801.49446467
1997-08-21,796.97564722
1997-08-22,792.98401096
1997-08-25,791.58678588
1997-08-26,789.44351682
1997-08-27,789.59821578
1997-08-28,783.1424773
1997-08-29,777.23536339
1997-09-01,778.95251115
1997-09-02,793.55429926
1997-09-03,796.70425119
1997-09-04,796.01549273
1997-09-05,799.32916749
1997-09-08,798.90182605
1997-09-09,798.89026332
1997-09-10,789.56596474
1997-09-11,781.49091564
1997-09-12,791.08136392
1997-09-15,793.61224979
1997-09-16,805.77183029
1997-09-17,808.46849579
1997-09-18,815.29745952
1997-09-19,816.37571703
1997-09-22,817.19571668
1997-09-23,816.78568263
1997-09-24,821.46046752
1997-09-25,820.98670295
1997-09-26,826.12674341
1997-09-29,831.00233336
1997-09-30,831.93969615
1997-10-01,838.3277004
1997-10-02,841.90109001
1997-10-03,846.26620448
1997-10-06,849.89577852
1997-10-07,853.40217702
1997-10-08,847.13199818
1997-10-09,839.96384439
1997-10-10,835.13914579
1997-10-13,842.34738982
1997-10-14,841.85752306
1997-10-15,841.31507093
1997-10-16,837.18714407
1997-10-17,826.52760531
1997-10-20,830.61501706
1997-10-21,837.28250543
1997-10-22,834.23850874
1997-10-23,818.35888582
1997-10-24,816.82312583
1997-10-27,786.78839323
1997-10-28,793.63370944
1997-10-29,804.80081188
1997-10-30,797.83558599
1997-10-31,805.53330684
1997-11-03,818.03646274
1997-11-04,817.28542487
1997-11-05,819.55673267
1997-11-06,815.78324635
1997-11-07,806.85394964
1997-11-10,807.84317131
1997-11-11,812.20381639
1997-11-12,803.74655963
1997-11-13,806.41387523
1997-11-14,808.13097752
1997-11-17,822.11601776
1997-11-18,822.92058108
1997-11-19,824.63407049
1997-11-20,835.21496072
1997-11-21,837.33493802
1997-11-24,829.63613031
1997-11-25,829.99632189
1997-11-26,831.94524005
1997-11-27,832.75752445
1997-11-28,832.93847397
1997-12-01,842.99286103
1997-12-02,845.49280542
1997-12-03,846.88687315
1997-12-04,846.89434504
1997-12-05,851.70771033
1997-12-08,853.99588716
1997-12-09,850.14617113
1997-12-10,849.49229995
1997-12-11,838.19465182
1997-12-12,839.63999551
1997-12-15,842.79553852
1997-12-16,846.3674969
1997-12-17,849.88570442
1997-12-18,848.17724161
1997-12-19,840.91645475
1997-12-22,845.12832402
1997-12-23,843.42024316
1997-12-24,842.33723493
1997-12-25,842.33723493
1997-12-26,842.51529831
1997-12-29,855.14655253
1997-12-30,863.24705713
1997-12-31,862.56336215
1998-01-01,862.56336215
1998-01-02,865.83012005
1998-01-05,864.61085067
1998-01-06,855.96077914
1998-01-07,856.33386775
1998-01-08,849.48959026
1998-01-09,833.10684702
1998-01-12,826.73932652
1998-01-13,838.37699179
1998-01-14,845.92359587
1998-01-15,843.5259693
1998-01-16,854.44937941
1998-01-19,859.7121197
1998-01-20,864.73953057
1998-01-21,861.61052038
1998-01-22,861.38892455
1998-01-23,861.62879053
1998-01-26,862.90478048
1998-01-27,869.78037489
1998-01-28,873.24001198
1998-01-29,874.22217046
1998-01-30,872.51029266
1998-02-02,888.95726755
1998-02-03,898.55432005
1998-02-04,899.71126892
1998-02-05,905.363295
1998-02-06,909.10046288
1998-02-09,905.54402451
1998-02-10,909.99600909
1998-02-11,910.0418401
1998-02-12,907.66393831
1998-02-13,904.11199682
1998-02-16,904.73333821
1998-02-17,911.68338528
1998-02-18,918.90953713
1998-02-19,914.91536469
1998-02-20,918.40608717
1998-02-23,921.3215365
1998-02-24,915.98237011
1998-02-25,924.43392856
1998-02-26,929.8612041
1998-02-27,931.48245732
1998-03-02,939.09293917
1998-03-03,940.59915172
1998-03-04,931.76656223
1998-03-05,923.14322881
1998-03-06,936.66237484
1998-03-09,941.52455657
1998-03-10,948.41348244
1998-03-11,951.27778195
1998-03-12,952.72626796
1998-03-13,961.35953482
1998-03-16,964.87007517
1998-03-17,968.45548526
