Date,WORLD ex AUSTRALIA WITH USA GROSS
2001-09-28,1000.0
2001-10-01,995.344921688218
2001-10-02,1006.421508689071
2001-10-03,1017.8353628085063
2001-10-04,1027.4563264847952
2001-10-05,1028.3602380545276
2001-10-08,1023.8259974151571
2001-10-09,1016.9059290994044
2001-10-10,1033.9942646468087
2001-10-11,1046.696225738312
2001-10-12,1045.4284410720732
2001-10-15,1037.308303851335
2001-10-16,1045.1858864137018
2001-10-17,1041.8693439754531
2001-10-18,1028.9139013100935
2001-10-19,1024.8835555866476
2001-10-22,1036.171004028328
2001-10-23,1041.6432241014506
2001-10-24,1043.5745973931307
2001-10-25,1047.1462030450518
2001-10-26,1054.3683270955107
2001-10-29,1035.481254689949
2001-10-30,1018.0323390920014
2001-10-31,1018.2798775056536
2001-11-01,1035.871961542575
2001-11-02,1037.625201394923
2001-11-05,1051.239997240928
2001-11-06,1061.6556672868464
2001-11-07,1060.6841789860964
2001-11-08,1068.2062198835847
2001-11-09,1065.473581558054
2001-11-12,1055.842272570929
2001-11-13,1070.9295965844701
2001-11-14,1073.712454164106
2001-11-15,1077.0609613737056
2001-11-16,1079.266373217803
2001-11-19,1089.226324921778
2001-11-20,1081.6322734272048
2001-11-21,1075.7565380247875
2001-11-22,1079.3970915157815
2001-11-23,1083.326501392492
2001-11-26,1089.8924706715231
2001-11-27,1082.1951394261375
2001-11-28,1066.5355771969232
2001-11-29,1072.827947912409
2001-11-30,1078.3636610091714
2001-12-03,1066.7784798443488
2001-12-04,1079.4058584691327
2001-12-05,1104.3981693041962
2001-12-06,1105.9235554246895
2001-12-07,1095.8489873970918
2001-12-10,1077.1687085128037
2001-12-11,1074.7122452700862
2001-12-12,1076.9129353110502
2001-12-13,1059.4630313998805
2001-12-14,1059.2735803912208
2001-12-17,1072.3131658273571
2001-12-18,1076.7948779067813
2001-12-19,1077.0863029994196
2001-12-20,1070.239608404799
2001-12-21,1073.1407267308707
2001-12-24,1070.3235506750893
2001-12-25,1069.9778485173927
2001-12-26,1072.3637703832935
2001-12-27,1085.6652154389508
2001-12-28,1090.12557524277
2001-12-31,1085.1761785475185
2002-01-01,1085.1761785475185
2002-01-02,1088.8981625878878
2002-01-03,1100.8549915364854
2002-01-04,1106.9581795770557
2002-01-07,1099.2325502169435
2002-01-08,1090.8022427701414
2002-01-09,1086.3919273766614
2002-01-10,1083.619738154441
2002-01-11,1078.2318800533255
2002-01-14,1068.6404738135036
2002-01-15,1073.1171408475848
2002-01-16,1056.8701619158446
2002-01-17,1065.7913916727377
2002-01-18,1060.1034883989298
2002-01-21,1058.3043975100234
2002-01-22,1050.4767739006056
2002-01-23,1056.7574496869795
2002-01-24,1061.9822641265375
2002-01-25,1057.6137891595179
2002-01-28,1060.4283026836863
