Date,PACIFIC SRI
2007-09-28,1332.45314571
2007-10-01,1335.80353036
2007-10-02,1355.46532606
2007-10-03,1358.33167486
2007-10-04,1350.7996789
2007-10-05,1354.24859677
2007-10-08,1349.00511532
2007-10-09,1360.59749119
2007-10-10,1360.78122539
2007-10-11,1367.97965662
2007-10-12,1356.76792658
2007-10-15,1349.72454087
2007-10-16,1324.76459499
2007-10-17,1316.03438368
2007-10-18,1338.67041763
2007-10-19,1326.32472493
2007-10-22,1304.51198757
2007-10-23,1318.17334113
2007-10-24,1318.00036868
2007-10-25,1313.87328896
2007-10-26,1342.22717804
2007-10-29,1363.97859534
2007-10-30,1361.41972391
2007-10-31,1369.16708067
2007-11-01,1386.5303651
2007-11-02,1361.37724796
2007-11-05,1345.40162279
2007-11-06,1350.11719313
2007-11-07,1358.04843334
2007-11-08,1330.14343465
2007-11-09,1328.35173046
2007-11-12,1294.40643544
2007-11-13,1295.72748369
2007-11-14,1323.4450162
2007-11-15,1318.77364644
2007-11-16,1297.66138352
2007-11-19,1299.08970907
2007-11-20,1301.79447328
2007-11-21,1283.54979237
2007-11-22,1276.54861853
2007-11-23,1281.19883353
2007-11-26,1309.3830301
2007-11-27,1315.93240158
2007-11-28,1304.83989549
2007-11-29,1336.86109723
2007-11-30,1338.50067764
2007-12-03,1346.47650295
2007-12-04,1341.40461385
2007-12-05,1343.8969061
2007-12-06,1365.41281728
2007-12-07,1368.83743595
2007-12-10,1367.39638485
2007-12-11,1379.41147081
2007-12-12,1366.37549751
2007-12-13,1339.80015118
2007-12-14,1312.62269028
2007-12-17,1282.36902461
2007-12-18,1281.28914417
2007-12-19,1268.98957316
2007-12-20,1270.77645937
2007-12-21,1279.72760495
2007-12-24,1280.84235244
2007-12-25,1297.87325747
2007-12-26,1309.63646883
2007-12-27,1306.45793532
2007-12-28,1297.23789383
2007-12-31,1311.73052345
2008-01-01,1311.73052345
2008-01-02,1328.16912362
2008-01-03,1327.28388142
2008-01-04,1295.25048033
2008-01-07,1271.72413177
2008-01-08,1274.51997033
