Date,EAFE ex JAPAN VALUE WEIGHTED
1994-05-31,1000.0
1994-06-30,986.1887929717311
1994-07-29,1042.733962888532
1994-08-31,1080.8449280039722
1994-09-30,1037.87486900424
1994-10-31,1078.0812553204828
1994-11-30,1029.332306653364
1994-12-30,1032.3568350235635
1995-01-31,1013.7992564354838
1995-02-28,1045.3118210063744
1995-03-31,1088.0332897136186
1995-04-28,1120.044525830957
1995-05-31,1155.9712858854082
1995-06-30,1161.8576647172201
1995-07-31,1219.9476418877775
1995-08-31,1171.076720053672
1995-09-29,1204.142141799415
1995-10-31,1198.819778754654
1995-11-30,1211.1901850621298
1995-12-29,1253.8018441373135
1996-01-31,1279.7998712684598
1996-02-29,1300.2173441685075
1996-03-29,1312.0628755330495
1996-04-30,1332.6959044365035
1996-05-31,1345.8420331927484
1996-06-28,1353.9778810641844
1996-07-31,1331.5624131222842
1996-08-30,1374.80697764835
1996-09-30,1405.8011230626196
1996-10-31,1440.3781361705082
1996-11-29,1521.9838458618647
1996-12-31,1552.7556832611851
1997-01-01,1552.7556832611851
1997-01-02,1528.0253900373057
1997-01-03,1532.2490315550924
1997-01-06,1534.812233376542
1997-01-07,1536.9439320978333
1997-01-08,1540.878536078265
1997-01-09,1543.8967012959363
1997-01-10,1536.9049130830194
1997-01-13,1547.9499755239915
1997-01-14,1559.3361778865237
1997-01-15,1567.4170765245535
1997-01-16,1576.1951371611708
1997-01-17,1571.4076041362475
1997-01-20,1563.5567653170465
1997-01-21,1557.5083310235048
1997-01-22,1560.465814206204
1997-01-23,1563.4457468608819
1997-01-24,1553.6558728966652
1997-01-27,1544.3789816436351
1997-01-28,1539.9913880348822
1997-01-29,1535.4814379649772
1997-01-30,1543.2170806826887
1997-01-31,1553.1328122341015
1997-02-03,1551.8251124383194
1997-02-04,1556.0781795996425
1997-02-05,1570.2598587553327
1997-02-06,1570.7909541086724
1997-02-07,1572.1057789008155
1997-02-10,1583.9476626836206
1997-02-11,1575.769275983711
1997-02-12,1573.472052689719
1997-02-13,1575.1110437195466
1997-02-14,1576.866527977149
1997-02-17,1571.6731892171297
1997-02-18,1569.3083296984305
1997-02-19,1569.9783274981496
1997-02-20,1572.4876069670602
1997-02-21,1574.4879740063254
1997-02-24,1583.636040707596
1997-02-25,1594.4569830068767
1997-02-26,1581.3367892994559
1997-02-27,1580.8082940523825
1997-02-28,1571.9246031962903
1997-03-03,1568.0165531039145
1997-03-04,1579.1849653221068
1997-03-05,1580.1872826674958
1997-03-06,1592.0094251963385
1997-03-07,1593.0371397465194
