Date,NORTH AMERICA VALUE
1974-12-31,100.0
1975-01-31,114.38021
1975-02-28,117.53686
1975-03-31,118.89927
1975-04-30,123.7099
1975-05-30,129.46169
1975-06-30,137.86083
1975-07-31,132.26584
1975-08-29,129.61093
1975-09-30,126.40007
1975-10-31,132.04289
1975-11-28,135.21098
1975-12-31,135.5473
1976-01-30,151.07485
1976-02-27,151.9176
1976-03-31,157.12542
1976-04-30,158.08681
1976-05-31,157.10975
1976-06-30,164.08669
1976-07-30,164.71056
1976-08-31,164.77088
1976-09-30,171.09034
1976-10-29,168.40974
1976-11-30,167.76995
1976-12-31,179.23338
1977-01-31,175.36474
1977-02-28,171.48539
1977-03-31,170.35682
1977-04-29,174.18944
1977-05-31,172.64675
1977-06-30,179.00332
1977-07-29,176.71341
1977-08-31,169.77588
1977-09-30,170.85453
1977-10-31,163.73032
1977-11-30,167.90946
1977-12-30,170.57307
1978-01-31,160.82483
1978-02-28,159.59532
1978-03-31,165.77982
1978-04-28,176.21069
1978-05-31,176.29518
1978-06-30,172.39896
1978-07-31,180.4676
1978-08-31,185.2794
1978-09-29,188.67622
1978-10-31,173.31296
1978-11-30,177.38426
1978-12-29,178.29598
1979-01-31,187.22832
1979-02-28,182.06182
1979-03-30,192.4879
1979-04-30,192.65678
1979-05-31,188.91438
1979-06-29,198.38579
1979-07-31,200.52364
1979-08-31,209.22211
1979-09-28,209.845
1979-10-31,194.15581
1979-11-30,200.39219
1979-12-31,203.05012
1980-01-31,217.31203
1980-02-29,216.99099
1980-03-31,198.46084
1980-04-30,208.88178
1980-05-30,220.40362
1980-06-30,225.93941
1980-07-31,237.7481
1980-08-29,239.69442
1980-09-30,241.75204
1980-10-31,245.16366
1980-11-28,264.71821
1980-12-31,257.92084
1981-01-30,253.14765
1981-02-27,255.01545
1981-03-31,269.24784
1981-04-30,270.13183
1981-05-29,271.56939
1981-06-30,270.87863
1981-07-31,266.36092
1981-08-31,253.08496
1981-09-30,242.81632
1981-10-30,248.30988
1981-11-30,259.91643
1981-12-31,252.50484
1982-01-29,248.83096
1982-02-26,238.62834
1982-03-31,238.10411
1982-04-30,243.69576
1982-05-31,236.5644
1982-06-30,232.1462
1982-07-30,226.30987
1982-08-31,254.94016
1982-09-30,254.50702
1982-10-29,282.87616
1982-11-30,289.99784
1982-12-31,295.3874
1983-01-31,310.70958
1983-02-28,316.45178
1983-03-31,328.22346
1983-04-29,356.85283
1983-05-31,354.50681
1983-06-30,361.06573
1983-07-29,355.7141
1983-08-31,365.97764
1983-09-30,368.35425
1983-10-31,365.73215
1983-11-30,375.60545
1983-12-30,373.46423
1984-01-31,376.28628
1984-02-29,361.43112
1984-03-30,366.2759
1984-04-30,369.85928
1984-05-31,345.23092
1984-06-29,347.17588
1984-07-31,341.5053
1984-08-31,380.56094
1984-09-28,387.04598
1984-10-31,384.66068
1984-11-30,384.47028
1984-12-31,394.37197
1985-01-31,421.794
1985-02-28,425.77035
1985-03-29,428.15822
1985-04-30,432.97937
1985-05-31,458.38548
1985-06-28,465.30269
1985-07-31,459.97713
1985-08-30,456.8971
1985-09-30,439.19526
1985-10-31,460.87524
1985-11-29,484.27951
1985-12-31,502.11299
1986-01-31,505.20605
1986-02-28,539.64297
1986-03-31,567.21135
1986-04-30,551.54718
1986-05-30,576.33814
1986-06-30,579.17215
1986-07-31,551.32931
1986-08-29,603.09441
1986-09-30,564.51276
1986-10-31,594.34117
1986-11-28,607.96256
1986-12-31,589.58086
1987-01-30,663.17126
1987-02-27,668.86981
1987-03-31,693.08019
1987-04-30,686.16417
1987-05-29,689.80109
1987-06-30,723.61812
1987-07-31,756.64193
1987-08-31,774.23865
1987-09-30,759.90145
1987-10-30,605.05485
1987-11-30,561.02677
1987-12-31,596.25151
1988-01-29,637.76351
1988-02-29,659.58631
1988-03-31,641.51015
1988-04-29,654.07634
1988-05-31,661.38343
1988-06-30,697.46859
1988-07-29,695.91682
1988-08-31,669.26314
1988-09-30,693.52753
1988-10-31,716.06671
1988-11-30,706.0756
1988-12-30,715.82955
1989-01-31,770.799
1989-02-28,747.3897
1989-03-31,759.10425
1989-04-28,791.87852
1989-05-31,813.52911
1989-06-30,812.67161
1989-07-31,869.72474
1989-08-31,884.4803
1989-09-29,876.79443
1989-10-31,850.45117
1989-11-30,861.08228
1989-12-29,882.94223
1990-01-31,828.48341
1990-02-28,846.77308
1990-03-30,853.1465
1990-04-30,821.12403
1990-05-31,882.26612
1990-06-29,863.00554
1990-07-31,864.33618
1990-08-31,789.59999
1990-09-28,752.16092
1990-10-31,745.66012
1990-11-30,794.87636
1990-12-31,815.70432
1991-01-31,854.23741
1991-02-28,904.39736
1991-03-29,913.58378
1991-04-30,916.62545
1991-05-31,953.80276
1991-06-28,909.33959
1991-07-31,941.71517
1991-08-30,954.10027
1991-09-30,947.25487
1991-10-31,966.89028
1991-11-29,915.40733
1991-12-31,981.63868
1992-01-31,975.64988
1992-02-28,992.5806
1992-03-31,970.47309
1992-04-30,1015.38668
1992-05-29,1019.16021
1992-06-30,1014.68747
1992-07-31,1051.7268
1992-08-31,1018.86581
1992-09-30,1022.88168
1992-10-30,1018.2502
1992-11-30,1036.4573
1992-12-31,1052.63978
1993-01-29,1079.92912
1993-02-26,1120.36847
1993-03-31,1151.50724
1993-04-30,1149.34437
1993-05-31,1165.58765
1993-06-30,1182.28749
1993-07-30,1201.47937
1993-08-31,1241.37963
1993-09-30,1238.41336
1993-10-29,1241.00735
1993-11-30,1217.12286
1993-12-31,1239.34394
1994-01-31,1293.54783
1994-02-28,1244.31728
1994-03-31,1194.28466
1994-04-29,1215.2942
1994-05-31,1234.84096
1994-06-30,1202.25747
1994-07-29,1243.04657
1994-08-31,1281.88166
1994-09-30,1241.07195
1994-10-31,1269.94279
1994-11-30,1219.34216
1994-12-30,1232.14414
1995-01-31,1262.40497
1995-02-28,1314.75334
1995-03-31,1348.14567
1995-04-28,1394.37963
1995-05-31,1450.02157
1995-06-30,1470.88753
1995-07-31,1524.78122
1995-08-31,1536.11285
1995-09-29,1584.93709
1995-10-31,1563.43332
1995-11-30,1640.60874
1995-12-29,1675.70732
1996-01-31,1728.99747
1996-02-29,1739.70329
1996-03-29,1771.15279
1996-04-30,1797.87624
1996-05-31,1817.31074
1996-06-28,1811.1864
1996-07-31,1732.40984
1996-08-30,1781.75022
1996-09-30,1854.78678
1996-10-31,1924.48119
1996-11-29,2070.6607
1996-12-31,2031.93389
1997-01-31,2137.5002344515583
1997-02-28,2149.7563871594657
1997-03-31,2072.9905368638906
1997-04-30,2156.2344757401743
1997-05-30,2280.739154786639
1997-06-30,2363.1458483773185
1997-07-31,2564.565809544357
1997-08-29,2443.956470637033
1997-09-30,2580.6311077599316
1997-10-31,2514.5918294226462
1997-11-28,2605.457655548069
1997-12-31,2669.3319601761204
1998-01-30,2642.0224110887816
1998-02-27,2817.8140555347877
1998-03-31,2960.095877280978
1998-04-30,3021.051601504956
1998-05-29,2946.957863833601
1998-06-30,2968.073950146824
1998-07-31,2913.9711953980336
1998-08-31,2447.245325872836
1998-09-30,2585.9547741071387
1998-10-30,2797.8262334133487
1998-11-30,2949.6757270894605
1998-12-31,3027.918646985878
1999-01-29,3104.2918603277
1999-02-26,3073.158067358464
1999-03-31,3151.546491588195
1999-04-30,3434.366257057232
1999-05-31,3365.901908715277
1999-06-30,3459.0466967104444
1999-07-30,3366.979977755358
1999-08-31,3263.1936074916225
1999-09-30,3115.455182029035
1999-10-29,3284.515164269138
1999-11-30,3268.622786134276
1999-12-31,3335.215197015287
2000-01-31,3236.1514880669647
2000-02-29,3024.2042746168263
2000-03-31,3333.447888954009
2000-04-28,3344.127175669247
2000-05-31,3352.521517996373
2000-06-30,3276.929897916548
2000-07-31,3304.9864615192732
2000-08-31,3472.914587619253
2000-09-29,3454.687849518277
2000-10-31,3503.1944478050095
2000-11-30,3297.9144223584017
2000-12-29,3443.528838656136
2001-01-01,3443.528838656136
2001-01-02,3399.1630034551176
2001-01-03,3482.170607637736
2001-01-04,3449.7034249603807
2001-01-05,3381.249837450241
2001-01-08,3386.2197517532427
2001-01-09,3384.5447126481376
2001-01-10,3409.5321543297437
2001-01-11,3412.3980700433244
2001-01-12,3396.3337987178506
2001-01-15,3397.215759497237
2001-01-16,3428.97258332218
2001-01-17,3424.8140353549775
2001-01-18,3436.1765154651107
2001-01-19,3416.3081402018142
2001-01-22,3419.823972220399
2001-01-23,3457.7324457129794
2001-01-24,3472.3240656807693
2001-01-25,3478.124797923678
2001-01-26,3459.531610297475
2001-01-29,3482.13153464181
2001-01-30,3511.513787405678
2001-01-31,3501.0597669483923
2001-02-01,3513.828235271209
2001-02-02,3475.2479626357017
2001-02-05,3503.66386600914
2001-02-06,3492.0013758694686
2001-02-07,3476.6975642310626
2001-02-08,3479.007059135971
2001-02-09,3459.6735426459504
2001-02-12,3490.1245253772604
2001-02-13,3479.07863991484
2001-02-14,3442.074649813993
2001-02-15,3458.018976280661
2001-02-16,3435.5748268764164
2001-02-19,3435.3581898196157
2001-02-20,3390.7751463155296
2001-02-21,3333.4385372937063
2001-02-22,3336.5099862717416
2001-02-23,3308.853246512986
2001-02-26,3372.641259523887
2001-02-27,3370.1746149070646
2001-02-28,3332.3600242271445
2001-03-01,3317.5809662761017
2001-03-02,3332.981731444862
2001-03-05,3351.844926902663
2001-03-06,3381.588483482183
2001-03-07,3413.2141836461146
2001-03-08,3436.1181565501547
2001-03-09,3376.469801760942
2001-03-12,3250.878535966777
2001-03-13,3280.000626145424
2001-03-14,3186.651507548178
2001-03-15,3227.1316081432287
2001-03-16,3161.6223271697436
2001-03-19,3219.332214093526
2001-03-20,3152.965264370158
2001-03-21,3082.926934209064
2001-03-22,3027.554486796096
2001-03-23,3090.2189626807285
2001-03-26,3155.330889386202
2001-03-27,3233.345389044286
2001-03-28,3162.665697641805
2001-03-29,3158.0375383437513
2001-03-30,3199.3973634538243
2001-04-02,3170.174614047316
2001-04-03,3067.405862661178
2001-04-04,3056.693916199082
2001-04-05,3170.2272891589014
2001-04-06,3105.9702827881156
2001-04-09,3138.8909874515775
2001-04-10,3221.870504999939
2001-04-11,3207.235246041553
2001-04-12,3237.0177487830606
2001-04-13,3237.0177487830606
2001-04-16,3249.478979932891
2001-04-17,3274.343490700114
2001-04-18,3381.312199951443
2001-04-19,3395.60338838273
2001-04-20,3364.0744682082354
2001-04-23,3336.5666782246008
2001-04-24,3317.0781054378153
2001-04-25,3360.9851872945214
2001-04-26,3389.376685593484
2001-04-27,3426.2616875418084
2001-04-30,3406.0662340411172
2001-05-01,3442.996839341675
2001-05-02,3431.405415342073
2001-05-03,3394.750733665519
2001-05-04,3433.2464711013604
2001-05-07,3426.342443370823
2001-05-08,3403.653946795706
2001-05-09,3404.7397069790673
2001-05-10,3415.9076508956246
2001-05-11,3389.7158681601063
2001-05-14,3412.0825491334526
2001-05-15,3413.7245500591807
2001-05-16,3493.973549793072
2001-05-17,3499.1372124456216
2001-05-18,3512.635310992479
2001-05-21,3545.7361875611487
2001-05-22,3544.659991655076
2001-05-23,3501.0203568418797
2001-05-24,3504.3927321790393
2001-05-25,3474.300804734796
2001-05-28,3474.4143713462468
2001-05-29,3457.8959795397295
2001-05-30,3423.478187410177
2001-05-31,3455.791023446043
2001-06-01,3457.9931027068815
2001-06-04,3475.265682222997
2001-06-05,3499.6115056400513
2001-06-06,3459.207167362969
2001-06-07,3452.601722741081
2001-06-08,3432.717602258455
2001-06-11,3424.3907943115355
2001-06-12,3419.1206683819496
2001-06-13,3399.552119130146
2001-06-14,3337.8354341469594
2001-06-15,3332.962081223265
2001-06-18,3312.851066998982
2001-06-19,3323.560523943636
2001-06-20,3343.215833390073
2001-06-21,3387.0311488891853
2001-06-22,3364.1411827345914
2001-06-25,3338.129428186319
2001-06-26,3331.797176989004
2001-06-27,3322.5301435116935
2001-06-28,3350.6920665869407
2001-06-29,3373.9564750056725
2001-07-02,3399.304864480917
2001-07-03,3395.3707294064375
2001-07-04,3395.1856402070766
2001-07-05,3370.681207720963
