Date,CHINA A INTERNATIONAL EQUAL WEIGHTED
2008-11-25,1000.0
2008-11-26,1007.5951104693225
2008-11-27,1023.8511409555042
2008-11-28,1008.5483307604562
2008-12-01,1017.9112249199394
2008-12-02,1017.2095282887558
2008-12-03,1061.0729112867532
2008-12-04,1074.4143820968204
2008-12-05,1085.4823797044533
2008-12-08,1128.1106215854777
2008-12-09,1104.1933248559474
2008-12-10,1130.747647394284
2008-12-11,1108.0752739087345
2008-12-12,1067.383167446923
2008-12-15,1073.0040904930656
2008-12-16,1083.1488849162595
2008-12-17,1090.1117789360865
2008-12-18,1110.3211035750542
2008-12-19,1112.4368956339877
2008-12-22,1092.7048920537475
2008-12-23,1039.2671795710664
2008-12-24,1022.3108125488168
2008-12-25,1013.5383322762799
2008-12-26,1007.5340003639265
2008-12-29,1006.2876467899969
2008-12-30,999.2955293177081
2008-12-31,994.2735680872603
2009-01-01,994.2735680872603
2009-01-02,994.2735680872603
2009-01-05,1026.728529081612
2009-01-06,1056.373827587274
2009-01-07,1051.0128732456615
2009-01-08,1027.762860187688
2009-01-09,1044.5572460968244
2009-01-12,1045.3148698074506
2009-01-13,1020.8431758253964
2009-01-14,1058.953505507343
2009-01-15,1057.0999285813552
2009-01-16,1075.5852176377557
2009-01-19,1087.4341632377455
2009-01-20,1091.035947971201
2009-01-21,1082.2607416318567
2009-01-22,1094.55138314723
2009-01-23,1089.1903234194888
2009-01-26,1089.1903234194888
2009-01-27,1089.1903234194888
2009-01-28,1089.1903234194888
2009-01-29,1089.1903234194888
2009-01-30,1089.1903234194888
2009-02-02,1106.691742363567
2009-02-03,1137.648219502568
2009-02-04,1166.1453569609173
2009-02-05,1155.9867612740188
2009-02-06,1200.2617321318849
2009-02-09,1239.6936561637954
2009-02-10,1258.5797135939044
2009-02-11,1263.537633549386
2009-02-12,1259.1991223878108
2009-02-13,1302.8572700194397
2009-02-16,1334.9210650635641
2009-02-17,1292.3540488986853
2009-02-18,1232.8096413643655
2009-02-19,1253.271273006957
2009-02-20,1277.5489258088098
2009-02-23,1307.8001763795532
2009-02-24,1249.971345999942
2009-02-25,1243.464805104232
2009-02-26,1181.4868073970747
2009-02-27,1155.4046009703368
2009-03-02,1168.5890400203134
2009-03-03,1157.6871740625793
2009-03-04,1229.5520064489774
2009-03-05,1235.0431361296075
2009-03-06,1224.3004682643866
2009-03-09,1180.8867732866638
2009-03-10,1201.9068353735222
2009-03-11,1191.5231299484258
2009-03-12,1187.8502700661754
2009-03-13,1184.2499487969665
2009-03-16,1199.8577339635192
2009-03-17,1242.1707597053023
2009-03-18,1251.6595983688717
2009-03-19,1278.6212976109903
2009-03-20,1277.0860236569274
2009-03-23,1308.2423647731875
2009-03-24,1319.0632027878587
2009-03-25,1288.2599236305512
2009-03-26,1330.137660857023
2009-03-27,1344.6300227765562
2009-03-30,1335.6347850060638
2009-03-31,1346.2776312415076
2009-04-01,1369.9241680101932
2009-04-02,1383.9785636557538
2009-04-03,1375.2156330023054
2009-04-06,1375.2156330023054
2009-04-07,1379.203854135317
2009-04-08,1328.2147751909783
2009-04-09,1347.755020753424
