Date,CHINA A INTERNATIONAL MOMENTUM
2008-11-25,1000.0
2008-11-26,1003.25140724515
2008-11-27,1014.9236174725223
2008-11-28,1004.086011606172
2008-12-01,1008.2343336498135
2008-12-02,1003.7231617647016
2008-12-03,1035.3561202843202
2008-12-04,1045.2998332501545
2008-12-05,1051.4863307427452
2008-12-08,1080.2875313992997
2008-12-09,1057.1445718377054
2008-12-10,1080.0804139356444
2008-12-11,1059.399211480982
2008-12-12,1028.9641716368253
2008-12-15,1034.6635985519051
2008-12-16,1044.0145865931759
2008-12-17,1048.3851782599108
2008-12-18,1060.4300698075187
2008-12-19,1062.6256978467677
2008-12-22,1045.943408314101
2008-12-23,1006.7612266054691
2008-12-24,993.2988881510939
2008-12-25,989.1675906896119
2008-12-26,979.9440214153151
2008-12-29,977.6674383265828
2008-12-30,970.646725307787
2008-12-31,968.1042036965831
2009-01-01,968.1042036965831
2009-01-02,968.1042036965831
2009-01-05,984.5923059859748
2009-01-06,996.1299990918528
2009-01-07,988.1362344006496
2009-01-08,969.5354236885897
2009-01-09,978.8178325140182
2009-01-12,974.5108169565796
2009-01-13,956.0656324320755
2009-01-14,983.6960366130913
2009-01-15,977.9808297690755
2009-01-16,990.0377854331139
2009-01-19,1000.9681370398339
2009-01-20,999.7304385309187
2009-01-21,991.8969499242768
2009-01-22,995.9034209857513
2009-01-23,990.9493512544428
2009-01-26,990.9493512544428
2009-01-27,990.9493512544428
2009-01-28,990.9493512544428
2009-01-29,990.9493512544428
2009-01-30,990.9493512544428
2009-02-02,1002.671864659982
2009-02-03,1029.7494379682428
2009-02-04,1047.6083111128933
2009-02-05,1039.1704938342436
2009-02-06,1075.4810727269946
2009-02-09,1100.8187184562737
2009-02-10,1115.4704803848704
2009-02-11,1119.1917109035865
2009-02-12,1115.2720206636784
2009-02-13,1150.8272237407903
2009-02-16,1170.158875909478
2009-02-17,1140.5440985638866
2009-02-18,1098.0836013548706
2009-02-19,1112.538259808961
2009-02-20,1126.098095673706
2009-02-23,1150.0007123988619
2009-02-24,1102.5001294043868
2009-02-25,1095.215980866109
2009-02-26,1050.999023335826
2009-02-27,1044.3206476891298
2009-03-02,1053.5941750650215
2009-03-03,1044.3864862219225
2009-03-04,1103.3228099154273
2009-03-05,1104.0201556203945
2009-03-06,1088.5022767750709
2009-03-09,1052.6358053749934
2009-03-10,1065.2293082428557
2009-03-11,1056.782294057521
2009-03-12,1053.999976835821
2009-03-13,1049.0839692639881
2009-03-16,1059.5173367219365
2009-03-17,1089.690500282914
2009-03-18,1091.8897021386367
2009-03-19,1109.5751398744578
2009-03-20,1106.8030972411668
2009-03-23,1131.8263919391795
2009-03-24,1140.6220863810743
2009-03-25,1114.5608370600617
2009-03-26,1139.176251448014
2009-03-27,1147.3684663915765
2009-03-30,1140.6350538075167
2009-03-31,1153.1426517844195
2009-04-01,1166.8566593257897
2009-04-02,1175.1743588505692
2009-04-03,1167.9506014231915
2009-04-06,1167.9506014231915
2009-04-07,1171.1350308468266
2009-04-08,1141.190986069507
2009-04-09,1156.0301269759639
2009-04-10,1185.415137521864
2009-04-13,1207.6129069619894
2009-04-14,1213.2151101595098
2009-04-15,1210.8509654679467
2009-04-16,1208.4771108968018
2009-04-17,1203.2061804532545
2009-04-20,1222.7305708649799
2009-04-21,1211.5161073924412
2009-04-22,1178.5583001375655
2009-04-23,1182.9085372767177
2009-04-24,1179.7477460349503
2009-04-27,1158.099322990746
2009-04-28,1157.8384035957752
2009-04-29,1184.7879445497636
2009-04-30,1190.4005727132965
2009-05-01,1190.4005727132965
2009-05-04,1220.9891808131608
2009-05-05,1225.8389426573933
2009-05-06,1235.7153534401
2009-05-07,1225.477185265466
