Date,CHINA A ONSHORE VALUE WEIGHTED
2007-11-30,1000.0
2007-12-03,1008.3843767371568
2007-12-04,1020.1267213738375
2007-12-05,1050.461498214579
2007-12-06,1047.3336819658284
2007-12-07,1064.5707081973685
2007-12-10,1086.4996513960323
2007-12-11,1090.3694137669129
2007-12-12,1082.2991139486069
2007-12-13,1043.6951177547498
2007-12-14,1064.1611026650958
2007-12-17,1040.9109391468894
2007-12-18,1039.047458196411
2007-12-19,1066.131795886689
2007-12-20,1082.3311137331689
2007-12-21,1097.144685494176
2007-12-24,1119.5849040412652
2007-12-25,1124.978914142343
2007-12-26,1135.7462473500127
2007-12-27,1158.616009520064
2007-12-28,1153.3426630873244
2007-12-31,1153.3426630873244
2008-01-01,1153.3426630873244
2008-01-02,1171.82529980594
2008-01-03,1190.7055860782061
2008-01-04,1199.15443870197
2008-01-07,1216.7701222741728
2008-01-08,1205.2323617299467
2008-01-09,1227.9565373912164
2008-01-10,1239.041327503653
2008-01-11,1245.0005217993948
2008-01-14,1258.0764017316517
2008-01-15,1257.0005117665273
2008-01-16,1220.1954935734202
2008-01-17,1189.2751086378619
2008-01-18,1203.0957118604317
2008-01-21,1146.0281752671435
2008-01-22,1057.1905304443198
2008-01-23,1111.735842431789
2008-01-24,1127.2480214485033
2008-01-25,1139.8552935574837
2008-01-28,1063.272242584419
2008-01-29,1073.6172236437874
2008-01-30,1065.129314235269
2008-01-31,1044.6336541610412
2008-02-01,1025.8156756439266
2008-02-04,1111.4739712115015
2008-02-05,1108.5458239291534
2008-02-06,1108.5458239291534
2008-02-07,1108.5458239291534
2008-02-08,1108.5458239291534
2008-02-11,1108.5458239291534
2008-02-12,1108.5458239291534
2008-02-13,1085.7567067121752
2008-02-14,1103.65734608685
2008-02-15,1093.581759559892
2008-02-18,1119.4937166039253
2008-02-19,1145.2383660966896
2008-02-20,1124.1755754233889
2008-02-21,1122.7804140111593
2008-02-22,1085.8138075540492
2008-02-25,1045.7759610615485
2008-02-26,1045.6270626130852
2008-02-27,1074.389931356575
2008-02-28,1075.7332272299254
2008-02-29,1086.6554265059601
2008-03-03,1114.101921394679
2008-03-04,1090.3052693898824
2008-03-05,1082.147834963412
2008-03-06,1093.2893615965318
2008-03-07,1075.9232106334314
2008-03-10,1034.1758428662797
2008-03-11,1037.3781365667178
2008-03-12,1006.2894973857316
2008-03-13,980.3047235979251
2008-03-14,970.5439244926725
2008-03-17,919.5647394491151
2008-03-18,871.2904147428331
2008-03-19,904.9405703333654
2008-03-20,937.9003441346672
2008-03-21,950.1550508848202
2008-03-24,911.9920724495951
2008-03-25,925.9256957317756
2008-03-26,927.3305291762399
2008-03-27,887.0629491320409
2008-03-28,923.1092318291132
2008-03-31,888.5801730767893
2008-04-01,832.523141794767
2008-04-02,818.3180135700918
2008-04-03,844.4443325624109
2008-04-04,844.4443325624109
2008-04-07,892.6514943615077
2008-04-08,902.4935367441471
2008-04-09,857.401107241262
2008-04-10,873.8940629900301
2008-04-11,879.6932478037298
2008-04-14,824.1835061822455
2008-04-15,838.3436816193835
2008-04-16,814.9339255347857
2008-04-17,788.2363557908197
2008-04-18,756.4700923976123
2008-04-21,755.5248791215457
2008-04-22,762.9460373318265
2008-04-23,799.1572871781058
2008-04-24,871.0042260216339
2008-04-25,876.8565859591249
2008-04-28,862.735534636999
2008-04-29,874.8494322576822
2008-04-30,916.6443312292755
2008-05-01,916.6443312292755
2008-05-02,916.6443312292755
2008-05-05,937.8772223637076
2008-05-06,927.7445924457313
2008-05-07,885.1556274684302
2008-05-08,906.9019804166871
2008-05-09,902.1776232921763
2008-05-12,911.0639602649541
2008-05-13,903.1397432503401
2008-05-14,926.9598787401671
2008-05-15,921.9348117029483
2008-05-16,916.6562373976121
2008-05-19,913.1940066123753
2008-05-20,863.5328606801698
2008-05-21,883.9747179109415
2008-05-22,871.1271898423219
2008-05-23,864.1871550740494
2008-05-26,838.3393205897896
2008-05-27,840.0423512251198
2008-05-28,864.7839090691259
2008-05-29,843.5137543840233
2008-05-30,850.4696317327283
2008-06-02,855.471099345636
