Date,INDIA VALUE WEIGHTED
1995-11-30,1000.0
1995-12-29,1043.9324265802502
1996-01-31,930.1436266223917
1996-02-29,1141.9637719811478
1996-03-29,1147.379876331828
1996-04-30,1270.6474283248206
1996-05-31,1217.1546110087104
1996-06-28,1247.2794470045508
1996-07-31,1122.6210548284625
1996-08-30,1093.5018201253145
1996-09-30,1001.3074379057989
1996-10-31,974.2467912459114
1996-11-29,874.5395821785771
1996-12-31,938.5707310559148
1997-01-01,938.5707310559148
1997-01-02,985.0900271767196
1997-01-03,995.1932465133322
1997-01-06,998.0890862464356
1997-01-07,1003.0213921939904
1997-01-08,1015.5945631330479
1997-01-09,1036.3347395420064
1997-01-10,1053.0489447159216
1997-01-13,1064.745785119492
1997-01-14,1081.9670938746947
1997-01-15,1136.7262867534757
1997-01-16,1081.2396107805632
1997-01-17,1070.7014677741977
1997-01-20,1062.0346007716003
1997-01-21,1046.3718237608182
1997-01-22,1059.4392390973137
1997-01-23,1060.208020013209
1997-01-24,1055.096166746831
1997-01-27,1096.837221227303
1997-01-28,1110.036600341481
1997-01-29,1084.6419006410792
1997-01-30,1077.0118973090598
1997-01-31,1034.5468359124109
1997-02-03,1015.3148888578862
1997-02-04,1027.6018997312567
1997-02-05,1023.2336034923893
1997-02-06,1035.8579721978263
1997-02-07,1037.9793047499213
1997-02-10,1049.6597402839648
1997-02-11,1063.5360015608335
1997-02-12,1061.4600347632081
1997-02-13,1064.7613125049
1997-02-14,1072.3916762409115
1997-02-17,1091.83443932988
1997-02-18,1074.7201625167388
1997-02-19,1072.0020070570542
1997-02-20,1061.7572787255501
1997-02-21,1047.7305430358424
1997-02-24,1022.8357481639994
1997-02-25,1023.6989737144407
1997-02-26,1028.661395764526
1997-02-27,1046.5719260270587
1997-02-28,1105.2950264914011
1997-03-03,1176.7599833155957
1997-03-04,1192.0970413102573
1997-03-05,1186.9920251210585
1997-03-06,1165.7621408549333
1997-03-07,1165.859688730158
1997-03-10,1131.4099088533312
1997-03-11,1105.6788661600842
1997-03-12,1114.6431598932822
1997-03-13,1110.2850448596723
1997-03-14,1107.1546907408135
1997-03-17,1122.4947715935523
1997-03-18,1122.5915883744744
1997-03-19,1091.3231179823658
1997-03-20,1098.6094806214596
1997-03-21,1097.0922571951462
1997-03-24,1097.3216624207394
1997-03-25,1106.0953499736993
1997-03-26,1099.600784613437
1997-03-27,1099.398405229522
1997-03-28,1080.345687674255
1997-03-31,990.0559470106971
1997-04-01,1007.0048059375695
1997-04-02,1042.2574031712284
1997-04-03,1050.1658322834214
1997-04-04,1040.681283072412
1997-04-07,1026.02762408194
1997-04-08,1026.02762408194
1997-04-09,1062.9279288272908
1997-04-10,1041.877931359741
1997-04-11,1045.5900064069733
1997-04-14,1036.761441293122
1997-04-15,1051.4689698512077
1997-04-16,1051.821417550599
1997-04-17,1061.310682506714
1997-04-18,1061.9040078358582
1997-04-21,1097.4183973619515
1997-04-22,1095.160620233845
1997-04-23,1103.2383788191867
1997-04-24,1097.1190054273518
1997-04-25,1095.7458918803309
1997-04-28,1096.5588171399504
1997-04-29,1091.0449100798303
1997-04-30,1106.0042101710972
1997-05-01,1106.0042101710972
1997-05-02,1096.7937403593737
1997-05-05,1086.601815039505
1997-05-06,1090.718208628822
1997-05-07,1082.6582436406256
1997-05-08,1082.9601814055366
1997-05-09,1087.4036514329634
1997-05-12,1074.356008752518
1997-05-13,1066.5476074620456
1997-05-14,1078.2431285310458
1997-05-15,1076.5225947983326
1997-05-16,1078.668041705312
1997-05-19,1088.6057634939693
1997-05-20,1086.3036243214065
1997-05-21,1078.1947954121003
1997-05-22,1074.3838433989213
1997-05-23,1067.3343110572619
1997-05-26,1069.014293465678
1997-05-27,1062.8850552897661
1997-05-28,1061.621426685744
1997-05-29,1072.6295498800503
1997-05-30,1081.9192456205901
1997-06-02,1094.0368133350196
1997-06-03,1096.5190163550758
1997-06-04,1102.8432311464298
1997-06-05,1106.510426059917
1997-06-06,1103.0652085694803
1997-06-09,1105.4084051714337
1997-06-10,1116.0963199492396
1997-06-11,1133.8413212237508
1997-06-12,1149.5431035819065
1997-06-13,1165.1475211055922
1997-06-16,1167.9238453732696
1997-06-17,1187.2714666890845
1997-06-18,1186.4208541091898
1997-06-19,1188.43050501777
1997-06-20,1192.9456582217585
1997-06-23,1199.2211008854583
1997-06-24,1208.0025215937728
1997-06-25,1199.688320948532
1997-06-26,1204.920366281389
1997-06-27,1204.6109222862153
1997-06-30,1244.1131577652206
1997-07-01,1263.3197015980475
1997-07-02,1272.6927082541931
1997-07-03,1270.3167129021945
1997-07-04,1270.5036070302995
1997-07-07,1276.1448181978126
1997-07-08,1277.2481991288746
1997-07-09,1307.3377940916282
1997-07-10,1307.8435339063155
1997-07-11,1296.2490689524484
1997-07-14,1269.818743195306
1997-07-15,1273.602116145952
1997-07-16,1263.015606990288
1997-07-17,1262.590565016862
1997-07-18,1235.5557090404106
1997-07-21,1248.326381996597
1997-07-22,1262.4841263035817
1997-07-23,1281.6145202160872
1997-07-24,1275.0373561083268
1997-07-25,1264.4783117693923
1997-07-28,1274.032054671141
1997-07-29,1293.2028829188635
1997-07-30,1306.5932257383636
1997-07-31,1317.1980634701295
1997-08-01,1315.6721745063167
1997-08-04,1358.5310309431259
1997-08-05,1377.7841345396691
1997-08-06,1366.902103428945
1997-08-07,1347.7874905525662
1997-08-08,1327.8156995640254
1997-08-11,1355.0691838647804
1997-08-12,1338.5808381746251
1997-08-13,1330.9746006886285
1997-08-14,1314.8259411196623
1997-08-15,1315.194188127398
1997-08-18,1314.8259411196623
1997-08-19,1281.7626940156088
1997-08-20,1280.788055846357
1997-08-21,1252.415317474501
1997-08-22,1220.3376056874044
1997-08-25,1214.2946684377832
1997-08-26,1226.184808092603
1997-08-27,1224.7268450752638
1997-08-28,1185.183870952549
1997-08-29,1161.8933165529734
1997-09-01,1177.7568616710273
1997-09-02,1181.2076699831796
1997-09-03,1185.589820771917
1997-09-04,1196.9985135928225
1997-09-05,1201.3757398252053
1997-09-08,1214.103475628441
1997-09-09,1198.7576956752666
1997-09-10,1200.5195521224318
1997-09-11,1195.684401266426
1997-09-12,1191.369975697939
1997-09-15,1198.4141973722724
1997-09-16,1197.7915186984299
1997-09-17,1178.5143187976628
1997-09-18,1168.935710615633
1997-09-19,1152.007979107572
1997-09-22,1134.9157863576183
1997-09-23,1149.7389709536667
1997-09-24,1154.8936031570906
1997-09-25,1169.765612068204
1997-09-26,1175.7366039463714
1997-09-29,1174.0531357153666
1997-09-30,1161.4894328520113
1997-10-01,1163.0735717996986
1997-10-02,1164.1998015690442
1997-10-03,1144.1820438705602
1997-10-06,1145.458680718261
1997-10-07,1162.0120956838916
1997-10-08,1169.9046070273591
1997-10-09,1182.915266683642
1997-10-10,1200.1856155216285
1997-10-13,1209.0885584371317
1997-10-14,1189.6773684458808
1997-10-15,1196.9278716391784
1997-10-16,1206.9671091479063
1997-10-17,1209.3982214572966
1997-10-20,1223.1815653805902
1997-10-21,1210.8056878375319
1997-10-22,1203.144374993414
1997-10-23,1179.9826301727621
1997-10-24,1161.392399407284
1997-10-27,1154.5841662928606
1997-10-28,1155.1254024937973
1997-10-29,1153.3761762510342
1997-10-30,1123.2924920052296
1997-10-31,1121.346460739003
1997-11-03,1114.4832338692543
1997-11-04,1114.6007242216879
1997-11-05,1110.5670539514972
1997-11-06,1102.534885026105
1997-11-07,1092.5482636899465
1997-11-10,1083.898417392519
1997-11-11,1078.830836351352
1997-11-12,1046.3517802939834
1997-11-13,1016.9705168277949
1997-11-14,1019.5986095575621
1997-11-17,1021.2915886324383
1997-11-18,994.4409677232105
1997-11-19,981.118431395039
1997-11-20,979.4318835351951
1997-11-21,981.8834921257567
1997-11-24,938.5375630954903
1997-11-25,948.1687727681211
1997-11-26,955.4821675014678
