Date,EM LATIN AMERICA EQUAL WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,996.7547333541285
1999-01-05,991.569612630842
1999-01-06,995.2845351486312
1999-01-07,978.1775297355085
1999-01-08,973.5405165535469
1999-01-11,951.8686414477746
1999-01-12,917.1432232348112
1999-01-13,850.6642461092581
1999-01-14,829.9916996792427
1999-01-15,881.9390842953612
1999-01-18,866.7526580221642
1999-01-19,866.3193948788111
1999-01-20,878.4423935022305
1999-01-21,845.3367131146182
1999-01-22,838.127952432031
1999-01-25,833.4227264290319
1999-01-26,842.7748697385869
1999-01-27,843.6920670094353
1999-01-28,850.6204615583837
1999-01-29,848.4880796777916
1999-02-01,886.9910272239954
1999-02-02,904.6457986421392
1999-02-03,896.8690839637956
1999-02-04,896.6338764833796
1999-02-05,890.5126077877395
1999-02-08,880.8843471698681
1999-02-09,879.0580771163793
1999-02-10,886.8825131361906
1999-02-11,898.1736805114144
1999-02-12,898.1685375866307
1999-02-15,899.9944408510792
1999-02-16,902.9524585448181
1999-02-17,897.1901957736859
1999-02-18,898.760888308234
1999-02-19,903.8133578973893
1999-02-22,898.6495768913378
1999-02-23,889.7845884756239
1999-02-24,887.2079462566239
1999-02-25,877.1228814079113
1999-02-26,885.0299297368166
1999-03-01,870.2288253487575
1999-03-02,861.9049172444653
1999-03-03,865.2337317109124
1999-03-04,889.0427400691906
1999-03-05,906.7888388404682
1999-03-08,917.7918945230518
1999-03-09,934.2929628767105
1999-03-10,952.5590146046003
1999-03-11,951.2664951753866
1999-03-12,953.1967446574324
1999-03-15,980.2488351184826
1999-03-16,988.4707947522606
1999-03-17,992.4936144959515
1999-03-18,1006.4474613785698
1999-03-19,1003.0133312017255
1999-03-22,994.142080164619
1999-03-23,987.7141591239305
1999-03-24,991.3274098972312
1999-03-25,1020.8524195071574
1999-03-26,1021.9810916641522
1999-03-29,1034.8909621334337
1999-03-30,1046.49637088284
1999-03-31,1058.7496153745378
1999-04-01,1060.9041922683607
1999-04-02,1061.3745164961801
1999-04-05,1081.4297517303037
1999-04-06,1093.9259939962071
1999-04-07,1104.8603675543288
1999-04-08,1110.2009452354152
1999-04-09,1110.751525773777
1999-04-12,1122.578789724458
1999-04-13,1129.433216370748
1999-04-14,1135.5324163657942
1999-04-15,1157.7205924014072
1999-04-16,1187.3078279592387
1999-04-19,1208.571403025757
1999-04-20,1190.1116558937713
1999-04-21,1190.387968978429
1999-04-22,1195.6403230229862
1999-04-23,1193.3746063098533
1999-04-26,1186.9443188637104
1999-04-27,1181.9395798814405
1999-04-28,1204.7842458668115
1999-04-29,1217.2956860211596
1999-04-30,1230.2665784447543
1999-05-03,1243.5464989645002
1999-05-04,1243.8024006487856
1999-05-05,1249.8765775952043
1999-05-06,1271.597304673574
1999-05-07,1300.7126671930723
1999-05-10,1332.8108074687611
1999-05-11,1330.0887750771692
1999-05-12,1316.2901722371003
1999-05-13,1349.351345777094
1999-05-14,1336.131737976365
1999-05-17,1320.9351768449317
1999-05-18,1330.9207978902534
1999-05-19,1303.582614756489
1999-05-20,1290.2980097537522
1999-05-21,1258.2168010066678
1999-05-24,1217.1111806732974
1999-05-25,1181.8891140071128
1999-05-26,1214.5496543162858
1999-05-27,1191.2393898696782
1999-05-28,1192.8448177412442
1999-05-31,1200.3184360355444
1999-06-01,1190.1739562297878
1999-06-02,1187.3689833037422
1999-06-03,1190.634264833185
1999-06-04,1202.6149662113662
1999-06-07,1208.15186296801
1999-06-08,1206.0502528325292
1999-06-09,1198.253052974959
1999-06-10,1201.5788009321805
1999-06-11,1194.7190588362187
1999-06-14,1186.2646653854063
1999-06-15,1193.117436256377
1999-06-16,1221.3440502840735
1999-06-17,1230.4276290412809
1999-06-18,1233.9336497975505
1999-06-21,1235.2615454393037
1999-06-22,1234.8499052853597
1999-06-23,1221.2282934686236
1999-06-24,1204.0993519749861
1999-06-25,1192.02028223033
1999-06-28,1199.8005906527892
1999-06-29,1204.7075220657446
1999-06-30,1228.839347197485
1999-07-01,1231.8293013708555
1999-07-02,1251.550450151488
1999-07-05,1255.6691842459425
1999-07-06,1254.8818029777171
1999-07-07,1257.2205495324465
1999-07-08,1236.843406446583
1999-07-09,1236.9654742190216
1999-07-12,1195.9469172261256
1999-07-13,1202.727840428006
1999-07-14,1205.4571159019076
1999-07-15,1217.4347101764376
1999-07-16,1222.5742494131118
1999-07-19,1230.000778193881
1999-07-20,1209.881373157076
1999-07-21,1214.727944071857
1999-07-22,1207.3135187795704
1999-07-23,1192.1050739700963
1999-07-26,1168.3294057802582
1999-07-27,1167.6025556302516
1999-07-28,1178.0326498247623
1999-07-29,1167.6027215859694
1999-07-30,1167.943724206038
1999-08-02,1149.6861027721293
1999-08-03,1144.2672988329223
1999-08-04,1137.543993907069
1999-08-05,1127.6797583607597
