Date,EM EMEA HIGH DIVIDEND YIELD
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,1014.5008357852055
1999-01-05,1031.8196488584788
1999-01-06,1080.8015741140434
1999-01-07,1059.251863413558
1999-01-08,1078.5920364469607
1999-01-11,1064.006211659553
1999-01-12,1064.9612619211125
1999-01-13,1005.9378175739554
1999-01-14,1012.3514776521902
1999-01-15,1017.5940778355035
1999-01-18,1040.0468349600173
1999-01-19,1027.519616924915
1999-01-20,1028.7265203225927
1999-01-21,1017.4060652193486
1999-01-22,1009.3295617371997
1999-01-25,996.0178931545327
1999-01-26,996.1904517954451
1999-01-27,1012.1442646236999
1999-01-28,1007.201172216458
1999-01-29,1011.8041851859415
1999-02-01,1022.4013644472968
1999-02-02,1021.0519458405457
1999-02-03,1016.8117109841388
1999-02-04,1030.1631484177078
1999-02-05,1051.8259446623213
1999-02-08,1072.7886961318206
1999-02-09,1051.2037655372621
1999-02-10,1036.6518244355952
1999-02-11,1044.2425833205577
1999-02-12,1052.3702075634842
1999-02-15,1051.7861239200004
1999-02-16,1058.5481002157853
1999-02-17,1056.3169706193526
1999-02-18,1060.8707275108573
1999-02-19,1055.780408325257
1999-02-22,1063.686561761911
1999-02-23,1070.1636380216498
1999-02-24,1082.2126440996224
1999-02-25,1093.1256237297407
1999-02-26,1085.118468107718
1999-03-01,1088.8542463063116
1999-03-02,1081.8322644212926
1999-03-03,1100.558726713789
1999-03-04,1106.6697023930444
1999-03-05,1124.5171149091511
1999-03-08,1139.136730443531
1999-03-09,1150.3785418156692
1999-03-10,1150.599258772927
1999-03-11,1176.761775056842
1999-03-12,1183.5258735050606
1999-03-15,1169.441789364918
1999-03-16,1168.4398503992747
1999-03-17,1183.2718110027463
1999-03-18,1179.0052973728014
1999-03-19,1206.0617659110785
1999-03-22,1207.7708606226754
1999-03-23,1195.019554526642
1999-03-24,1176.7806112950125
1999-03-25,1191.9407055204415
1999-03-26,1181.6138411723878
1999-03-29,1186.6330476416556
1999-03-30,1194.5384408957652
1999-03-31,1192.5334685215598
1999-04-01,1192.4858180766464
1999-04-02,1192.3850627998027
1999-04-05,1198.0464759705103
1999-04-06,1200.7634199709569
1999-04-07,1202.4008803734976
1999-04-08,1196.560493092244
1999-04-09,1209.8309245259272
1999-04-12,1202.7657985399746
1999-04-13,1220.5132010201362
1999-04-14,1247.966073259003
1999-04-15,1275.5622264896535
1999-04-16,1314.0959461577122
1999-04-19,1344.9249330774737
1999-04-20,1347.188253230166
1999-04-21,1311.9058250331616
1999-04-22,1309.400266750292
1999-04-23,1318.94985958869
1999-04-26,1328.6318871127453
1999-04-27,1324.0058089633346
1999-04-28,1351.9338322083622
1999-04-29,1356.147780508951
1999-04-30,1365.2840010991672
1999-05-03,1376.7337719375505
1999-05-04,1375.0216480258296
1999-05-05,1354.2901197281428
1999-05-06,1373.34343758758
1999-05-07,1365.034250438618
1999-05-10,1359.2520419883238
1999-05-11,1366.54098230817
1999-05-12,1331.3015089383905
1999-05-13,1331.0462704770703
1999-05-14,1340.6008498592746
1999-05-17,1342.9307025371656
1999-05-18,1347.5082799950594
1999-05-19,1343.1602688733526
1999-05-20,1339.288506565886
1999-05-21,1338.1954392054708
1999-05-24,1315.9786338389372
1999-05-25,1291.6769428693362
1999-05-26,1279.3428318257672
1999-05-27,1271.2882136658322
1999-05-28,1270.4173140419841
1999-05-31,1273.8911959698696
1999-06-01,1301.0687267895223
1999-06-02,1293.2438493695308
1999-06-03,1318.681535775824
1999-06-04,1336.2266796470738
1999-06-07,1364.5507465535452
1999-06-08,1365.4774353080402
1999-06-09,1373.3795962815148
1999-06-10,1380.7402627662937
1999-06-11,1401.720190500645
1999-06-14,1407.1383856500938
1999-06-15,1399.9225570227911
1999-06-16,1399.148780965339
1999-06-17,1413.7764416512978
1999-06-18,1431.7623286595353
1999-06-21,1446.4714647866483
1999-06-22,1445.3163819660806
1999-06-23,1426.9202745933076
1999-06-24,1417.473283736707
1999-06-25,1412.1946184205224
1999-06-28,1422.3164479164154
1999-06-29,1418.4382868257685
1999-06-30,1430.0246035898185
1999-07-01,1462.8457765929552
1999-07-02,1471.1913558054082
1999-07-05,1497.768979820827
1999-07-06,1474.2666627772837
1999-07-07,1465.3654687279648
1999-07-08,1471.9030848011569
1999-07-09,1470.390967866435
1999-07-12,1492.9189714915738
1999-07-13,1470.5358520092145
1999-07-14,1479.0170818320375
1999-07-15,1478.6085594657368
1999-07-16,1468.8830924157855
1999-07-19,1483.4361435372282
1999-07-20,1481.8429352233109
1999-07-21,1480.005735796875
1999-07-22,1484.0505534576228
1999-07-23,1483.0409819057602
1999-07-26,1455.3016145597414
1999-07-27,1459.4833140374901
1999-07-28,1451.9998781465304
1999-07-29,1434.866951295298
1999-07-30,1439.9926472546372
1999-08-02,1423.833465611906
