Date,JORDAN + EGYPT + MOROCCO
2005-05-31,780.285567
2005-06-01,778.3764985
2005-06-02,771.0773047
2005-06-03,768.8649774
2005-06-06,785.7131624
2005-06-07,786.2986021
2005-06-08,786.7110579
2005-06-09,793.9164513
2005-06-10,793.5304776
2005-06-13,799.6739756
2005-06-14,808.8673088
2005-06-15,817.2106963
2005-06-16,830.2234789
2005-06-17,831.4485023
2005-06-20,868.9047298
2005-06-21,868.0859863
2005-06-22,863.0582545
2005-06-23,873.5861756
2005-06-24,874.1788829
2005-06-27,868.6375187
2005-06-28,866.5379926
2005-06-29,857.3948771
2005-06-30,857.4144358
2005-07-01,856.3166099
2005-07-04,869.2408816
2005-07-05,880.7369911
2005-07-06,883.5270738
2005-07-07,871.009785
2005-07-08,871.704332
2005-07-11,871.5507937
2005-07-12,876.0497626
2005-07-13,876.832187
2005-07-14,876.7017833
2005-07-15,877.3454097
2005-07-18,863.7787445
2005-07-19,872.6732298
2005-07-20,879.7442119
2005-07-21,882.4065486
2005-07-22,883.1305561
2005-07-25,881.343305
2005-07-26,871.125254
2005-07-27,867.5636015
2005-07-28,877.1496368
2005-07-29,877.2398105
2005-08-01,878.2768849
2005-08-02,879.1817837
2005-08-03,868.947527
2005-08-04,858.3487403
2005-08-05,858.3290771
2005-08-08,874.8062824
2005-08-09,875.3382647
2005-08-10,872.0963085
2005-08-11,865.9605462
2005-08-12,867.423669
2005-08-15,868.5232521
2005-08-16,873.9677298
2005-08-17,870.6161879
2005-08-18,862.2505489
2005-08-19,862.6997781
2005-08-22,851.4840743
2005-08-23,865.4494272
2005-08-24,879.6518316
2005-08-25,882.4986551
2005-08-26,880.6780483
2005-08-29,900.5096349
2005-08-30,894.4616821
2005-08-31,895.7893668
2005-09-01,907.9158379
2005-09-02,912.198205
2005-09-05,926.3034429
2005-09-06,920.2567088
2005-09-07,923.2840007
2005-09-08,925.4573433
2005-09-09,927.2198859
2005-09-12,925.7664995
2005-09-13,927.4647458
2005-09-14,928.6642366
2005-09-15,936.7962901
2005-09-16,937.0524376
2005-09-19,932.4947459
2005-09-20,930.9289219
2005-09-21,935.8831406
2005-09-22,949.3937868
2005-09-23,947.2074547
2005-09-26,959.8085462
2005-09-27,973.1184459
2005-09-28,967.4844939
2005-09-29,965.9739632
2005-09-30,966.264792
2005-10-03,971.0818819
2005-10-04,962.2146449
2005-10-05,958.6042308
2005-10-06,956.4865912
2005-10-07,956.8982979
2005-10-10,960.4542996
2005-10-11,966.9153817
2005-10-12,975.8302043
2005-10-13,974.9729709
2005-10-14,976.9822523
2005-10-17,970.5090399
2005-10-18,963.2072742
2005-10-19,948.0525508
2005-10-20,955.3562695
2005-10-21,955.071651
2005-10-24,951.4922954
2005-10-25,949.9207402
2005-10-26,956.7713993
2005-10-27,958.9978271
2005-10-28,958.9173102
2005-10-31,975.3920537
2005-11-01,995.1150339
2005-11-02,997.453169
2005-11-03,997.7910623
2005-11-04,995.7459213
2005-11-07,1030.302807
2005-11-08,1048.762565
2005-11-09,1043.565937
2005-11-10,1034.071641
2005-11-11,1033.863363
2005-11-14,1010.024018
2005-11-15,1018.166835
2005-11-16,1016.364875
2005-11-17,1012.221037
2005-11-18,1012.250508
2005-11-21,1009.851642
2005-11-22,1000.225481
2005-11-23,994.4707069
2005-11-24,1003.469022
2005-11-25,1004.850855
2005-11-28,1006.893045
2005-11-29,1007.099578
2005-11-30,1000.0
2005-12-01,1007.0055609198125
2005-12-02,1004.8847610028862
2005-12-05,1020.5206179153264
2005-12-06,1016.5048535517706
2005-12-07,1040.1665766642984
2005-12-08,1031.576437212202
2005-12-09,1035.0634578231115
2005-12-12,1013.960163884168
2005-12-13,1023.2413860597591
2005-12-14,1022.2366498258571
2005-12-15,1012.2508829011003
2005-12-16,1014.2420696277393
2005-12-19,1026.2212699325976
2005-12-20,1025.1602734893586
2005-12-21,1020.2151185418641
