Date,EM EMEA VALUE WEIGHTED
1996-12-31,1000.0
1997-01-01,1000.0
1997-01-02,1000.9593887103633
1997-01-03,1001.6484122997246
1997-01-06,1011.3468581019898
1997-01-07,1032.244671563889
1997-01-08,1042.3516509544577
1997-01-09,1044.4551902086373
1997-01-10,1044.426058167619
1997-01-13,1062.233650203324
1997-01-14,1063.439622475354
1997-01-15,1069.6133750073652
1997-01-16,1075.511307277539
1997-01-17,1076.7620109197285
1997-01-20,1077.5740244704818
1997-01-21,1076.2390697459234
1997-01-22,1077.6522662671548
1997-01-23,1081.0055129644059
1997-01-24,1091.005721973688
1997-01-27,1105.2074257841707
1997-01-28,1101.702578265265
1997-01-29,1102.3055001598336
1997-01-30,1106.5093079588203
1997-01-31,1106.9837494983735
1997-02-03,1122.589081920585
1997-02-04,1125.0206682060796
1997-02-05,1145.618143996465
1997-02-06,1158.8620711580854
1997-02-07,1161.471321005174
1997-02-10,1176.465632149746
1997-02-11,1174.7123270341074
1997-02-12,1173.6510341586832
1997-02-13,1172.0949557906838
1997-02-14,1167.7082092783505
1997-02-17,1177.437928567875
1997-02-18,1183.7316304384365
1997-02-19,1180.5211834585093
1997-02-20,1183.2689890677157
1997-02-21,1188.5919776156356
1997-02-24,1199.363452743111
1997-02-25,1204.6607561395956
1997-02-26,1199.9470798484351
1997-02-27,1180.79306474405
1997-02-28,1166.4988630073208
1997-03-03,1152.215951701436
1997-03-04,1150.2340362944606
1997-03-05,1144.4037146633264
1997-03-06,1153.045105352145
1997-03-07,1149.6966216645105
1997-03-10,1161.97802346422
1997-03-11,1163.5544362349967
1997-03-12,1160.6155484816495
1997-03-13,1160.5307810747784
1997-03-14,1144.6613587293207
1997-03-17,1151.1913405511475
1997-03-18,1151.6826647799905
1997-03-19,1149.232187673244
1997-03-20,1146.6195828160344
1997-03-21,1148.9269547244496
1997-03-24,1146.9698486705909
1997-03-25,1147.4982571251157
1997-03-26,1144.7411163941078
1997-03-27,1153.0498139730666
1997-03-28,1157.8575743442414
1997-03-31,1164.6574099665352
1997-04-01,1149.3107426026604
1997-04-02,1154.922107401864
1997-04-03,1153.8420614686465
1997-04-04,1158.6849772202413
1997-04-07,1160.74114613301
1997-04-08,1156.3045092423044
1997-04-09,1153.8458632502234
1997-04-10,1151.2241475169394
1997-04-11,1148.3762951107262
1997-04-14,1141.9716239931092
1997-04-15,1146.2013870305257
1997-04-16,1147.8075905392755
1997-04-17,1145.029406410067
1997-04-18,1148.3493901027714
1997-04-21,1152.7857845754972
1997-04-22,1152.4791304536861
1997-04-23,1158.7147474287137
1997-04-24,1156.3218480865048
