Date,EM EASTERN EUROPE ex RUSSIA VALUE
2007-05-31,1000.0
2007-06-01,1016.3811212625689
2007-06-04,1020.2919029282859
2007-06-05,1027.8370567760205
2007-06-06,1008.3851801567465
2007-06-07,1007.3301911548168
2007-06-08,991.0190894608651
2007-06-11,998.2260836459853
2007-06-12,989.5497854520121
2007-06-13,999.6461770726146
2007-06-14,1012.7465970128729
2007-06-15,1034.087921164346
2007-06-18,1033.1717251980801
2007-06-19,1034.606493894515
2007-06-20,1027.622661790733
2007-06-21,1015.5144188373466
2007-06-22,1051.5731723720653
2007-06-25,1074.137317885773
2007-06-26,1101.7909001555036
2007-06-27,1079.7354945252691
2007-06-28,1095.872931605784
2007-06-29,1090.4925460062311
2007-07-02,1100.7625689515764
2007-07-03,1122.5308896775293
2007-07-04,1129.0636444416405
2007-07-05,1119.7442406210089
2007-07-06,1137.8937903671904
2007-07-09,1141.2582760905298
2007-07-10,1129.1082208182772
2007-07-11,1134.6239318538092
2007-07-12,1148.1926886844763
2007-07-13,1158.7285521478764
2007-07-16,1162.947361954723
2007-07-17,1154.602652781756
2007-07-18,1152.9814286552235
2007-07-19,1167.0359699521732
2007-07-20,1153.8386267828091
2007-07-23,1172.2735562727348
2007-07-24,1150.8938229589426
2007-07-25,1136.131986289116
2007-07-26,1112.0703597262077
2007-07-27,1103.3372881674939
2007-07-30,1099.378420783049
2007-07-31,1105.5509333941493
2007-08-01,1087.0765739806661
2007-08-02,1092.965122795642
2007-08-03,1087.1655412376097
2007-08-06,1079.040678170019
2007-08-07,1087.279694045501
2007-08-08,1100.879617547881
2007-08-09,1067.1517832691995
2007-08-10,1039.3420798102982
2007-08-13,1055.4891767568975
2007-08-14,1033.6439881112678
2007-08-15,1021.6610331473049
2007-08-16,970.7770390732367
2007-08-17,986.8448281175179
2007-08-20,987.1143287729593
2007-08-21,982.633311066647
2007-08-22,1027.3325480910194
2007-08-23,1041.5214768995718
2007-08-24,1063.5795768315536
2007-08-27,1062.826738711904
2007-08-28,1047.3737914831188
2007-08-29,1060.53178922975
2007-08-30,1058.0096278305243
2007-08-31,1071.9507147929517
2007-09-03,1073.0396560416818
2007-09-04,1077.4251250821392
2007-09-05,1070.2432318215745
2007-09-06,1071.8941096737713
2007-09-07,1061.494753759616
2007-09-10,1055.3964156324093
2007-09-11,1069.9582586381482
2007-09-12,1086.9199038391905
2007-09-13,1099.4948385651182
2007-09-14,1091.778422604778
2007-09-17,1087.5028877487166
2007-09-18,1099.267022591304
2007-09-19,1141.1899532418613
2007-09-20,1153.6779163662486
2007-09-21,1156.2908048810668
2007-09-24,1148.9357481581906
2007-09-25,1154.2408386825455
2007-09-26,1157.5546908187948
2007-09-27,1157.3055886076788
2007-09-28,1159.5726043238838
2007-10-01,1174.8583538620285
2007-10-02,1172.5134764649727
2007-10-03,1159.669829925921
