Date,EM (EMERGING MARKETS) VALUE
2000-12-29,100.0
2001-01-01,100.11184102917241
2001-01-02,100.59581278557589
2001-01-03,101.14900572277864
2001-01-04,104.16150869140849
2001-01-05,104.79003402231812
2001-01-08,105.10768491001666
2001-01-09,106.1266443507888
2001-01-10,105.10669311760232
2001-01-11,105.75727275473014
2001-01-12,106.24522636204776
2001-01-15,106.50994656660144
2001-01-16,106.79553397211586
2001-01-17,107.60904945992655
2001-01-18,109.02915436937501
2001-01-19,110.34611415041007
2001-01-22,110.65410128721388
2001-01-23,111.30952894134221
2001-01-24,111.49086263164536
2001-01-25,111.77245009454063
2001-01-26,111.53450412603767
2001-01-29,111.16463320105986
2001-01-30,111.77339743327543
2001-01-31,113.75940468543936
2001-02-01,113.49534570686657
2001-02-02,113.64759092502858
2001-02-05,111.80004772712726
2001-02-06,112.00075110736414
2001-02-07,110.4303194674459
2001-02-08,111.43790241199585
2001-02-09,111.96918623474534
2001-02-12,112.35690152499448
2001-02-13,112.97036746659262
2001-02-14,112.79204833744281
2001-02-15,113.3437509041166
2001-02-16,112.3472700997997
2001-02-19,111.40592714738371
2001-02-20,111.83897674799674
2001-02-21,109.47262484422848
2001-02-22,108.43757335341566
2001-02-23,107.77581444047901
2001-02-26,108.85800699777955
2001-02-27,108.56526778174822
2001-02-28,108.28945541594082
2001-03-01,108.30820582452695
2001-03-02,108.18378014906065
2001-03-05,108.37481299367043
2001-03-06,108.95363795140676
2001-03-07,108.82479084229598
2001-03-08,109.29842860484652
2001-03-09,108.08805200252755
2001-03-12,104.66095685390692
2001-03-13,103.36045408429875
2001-03-14,101.80821417975052
2001-03-15,102.03972002260792
2001-03-16,101.58343064694155
2001-03-19,100.71538153629605
2001-03-20,100.81481411057472
2001-03-21,100.72577119340257
2001-03-22,98.19960441213902
2001-03-23,98.95937180935933
2001-03-26,100.94237305644121
2001-03-27,100.92384149340579
2001-03-28,100.16921776835432
2001-03-29,98.87039378252275
2001-03-30,98.73144642116196
2001-04-02,97.24166542916774
2001-04-03,95.36495884058169
2001-04-04,94.74465305172166
2001-04-05,96.20302316152107
2001-04-06,96.62336026202571
2001-04-09,96.29610711543701
2001-04-10,96.84796887367814
2001-04-11,97.9002177916169
2001-04-12,98.08076651149062
2001-04-13,98.21976173075178
2001-04-16,97.57090097438474
2001-04-17,97.62158906841846
2001-04-18,100.23599844810586
2001-04-19,100.79479935284292
2001-04-20,99.36366873044385
2001-04-23,98.89171516398788
2001-04-24,99.43004709367209
2001-04-25,99.68073698149053
2001-04-26,100.71804081590939
2001-04-27,101.14397532538379
2001-04-30,102.22550799884336
2001-05-01,102.11443576158644
2001-05-02,102.67436204557474
2001-05-03,102.70055668898085
2001-05-04,102.52537995015255
2001-05-07,102.41588018811481
2001-05-08,101.68302123587401
2001-05-09,101.91665331379575
2001-05-10,102.04766173909657
2001-05-11,101.8272922889505
2001-05-14,100.82797883734601
2001-05-15,100.89384094913424
2001-05-16,101.38907488400042
2001-05-17,104.31547461026774
2001-05-18,104.91559721356855
2001-05-21,105.10178020880572
2001-05-22,105.50852445762918
2001-05-23,106.12322430869467
2001-05-24,106.14274898174327
2001-05-25,105.70699192240544
2001-05-28,105.532073445316
2001-05-29,105.51314577589363
2001-05-30,104.70291997444417
2001-05-31,104.69733602086642
2001-06-01,104.14962926539742
2001-06-04,104.80768735316052
2001-06-05,104.89060228524359
2001-06-06,105.18704937428122
2001-06-07,105.12548723837754
2001-06-08,105.9832264273101
2001-06-11,105.6562246315411
2001-06-12,105.2793529627704
2001-06-13,105.08578600742253
2001-06-14,104.53945617219101
2001-06-15,104.03300576168049
2001-06-18,102.1799706419699
2001-06-19,102.04649886203156
2001-06-20,101.79482310678834
2001-06-21,102.73288894130897
2001-06-22,102.87538154159071
2001-06-25,103.02542665585779
2001-06-26,102.61404797514804
2001-06-27,102.77253915339888
2001-06-28,102.22903006570444
2001-06-29,103.11773829306013
2001-07-02,103.20032311377892
2001-07-03,102.1590380042959
2001-07-04,101.33452059544535
2001-07-05,100.88432933387742
2001-07-06,99.45134474734384
2001-07-09,99.03633409836763
2001-07-10,98.5371543596264
2001-07-11,96.5728596459312
2001-07-12,97.0702493760372
2001-07-13,96.5931206646433
2001-07-16,95.6539932039058
2001-07-17,95.52590346486654
2001-07-18,95.08536300588909
2001-07-19,95.01878944928775
2001-07-20,94.87034143525422
2001-07-23,95.02112275771536
2001-07-24,94.30077004735858
2001-07-25,93.94956352065712
2001-07-26,95.01492221018475
2001-07-27,95.3765974529859
2001-07-30,95.51961094154731
2001-07-31,95.31132740569325
2001-08-01,95.78325693410558
2001-08-02,97.06253484287346
2001-08-03,97.1133023223047
2001-08-06,96.53775562370015
2001-08-07,96.20833222412699
2001-08-08,96.44094680064177
2001-08-09,95.68362592412629
2001-08-10,96.01487933044878
2001-08-13,96.43353297582664
2001-08-14,97.18984990367883
2001-08-15,97.30373467011353
2001-08-16,97.85187671130403
2001-08-17,96.73139137661154
2001-08-20,96.07694467209963
2001-08-21,96.1708980237238
2001-08-22,96.91468060731856
2001-08-23,96.58470024012576
2001-08-24,96.88141655255374
2001-08-27,97.72286256328668
2001-08-28,97.25438732668513
2001-08-29,97.68425178478834
2001-08-30,97.30556531749873
2001-08-31,96.69185271196332
2001-09-03,95.63784647592375
2001-09-04,95.88744548704729
2001-09-05,95.49350258798735
2001-09-06,94.70662822928605
2001-09-07,94.25496788163159
2001-09-10,93.32664336378014
2001-09-11,90.17652193318892
2001-09-12,87.77370291826463
2001-09-13,86.87074198795008
2001-09-14,84.5064427098567
2001-09-17,82.95654333240036
2001-09-18,83.08805213712529
2001-09-19,83.93576578579713
2001-09-20,81.57094271424415
2001-09-21,79.44257918223279
2001-09-24,80.49220092113505
2001-09-25,80.61848413689053
2001-09-26,80.86731462767735
2001-09-27,81.13027832050028
2001-09-28,82.53769799637871
2001-10-01,82.27496657753703
2001-10-02,81.67033405084277
2001-10-03,81.18112679072064
2001-10-04,82.79574839500346
2001-10-05,83.01869555316237
2001-10-08,82.38291932947122
2001-10-09,83.36960068206861
2001-10-10,83.97549117960676
2001-10-11,85.77879697380583
2001-10-12,85.00670829057202
2001-10-15,84.95333579053745
2001-10-16,85.7817653445483
2001-10-17,86.50220297528952
2001-10-18,85.75214441649554
2001-10-19,85.89199568433644
2001-10-22,86.44524363949655
2001-10-23,86.7557981955284
2001-10-24,87.52905024795668
2001-10-25,87.62770339720838
2001-10-26,88.04282358556851
2001-10-29,87.57053286418117
2001-10-30,86.22714837950768
2001-10-31,86.81228299712771
2001-11-01,86.93366183383272
2001-11-02,87.49757788799108
2001-11-05,89.10705940860275
2001-11-06,89.14398018200662
2001-11-07,88.94584882086576
2001-11-08,89.8335184555161
2001-11-09,90.19516668120082
2001-11-12,90.35574422209588
2001-11-13,91.4315408311126
2001-11-14,92.78168293591843
2001-11-15,94.02534350056905
2001-11-16,93.99319666334111
2001-11-19,95.35988135203127
2001-11-20,94.7196064113974
2001-11-21,94.95776375572056
2001-11-22,95.3400908056435
2001-11-23,96.41569788988339
2001-11-26,98.44717534586599
2001-11-27,97.65841663895198
2001-11-28,95.56253402697139
2001-11-29,95.00464967303934
2001-11-30,95.66142040185092
2001-12-03,96.78237059427182
2001-12-04,97.38092199036937
2001-12-05,99.46315193891667
2001-12-06,100.84549831021512
2001-12-07,101.69301670000017
2001-12-10,101.31615462478679
2001-12-11,100.40435634198995
2001-12-12,101.0647712106606
2001-12-13,99.5687731331462
2001-12-14,99.34492426888522
2001-12-17,99.47854906378856
2001-12-18,98.87996068388607
