DATE,DGS5
1993-04,5.14
1993-05,5.37
1993-06,5.05
1993-07,5.16
1993-08,4.80
1993-09,4.79
1993-10,4.83
1993-11,5.15
1993-12,5.21
1994-01,5.02
1994-02,5.60
1994-03,6.23
1994-04,6.64
1994-05,6.77
1994-06,6.97
1994-07,6.73
1994-08,6.81
1994-09,7.28
1994-10,7.48
1994-11,7.79
1994-12,7.83
1995-01,7.54
1995-02,7.06
1995-03,7.08
1995-04,6.88
1995-05,6.08
1995-06,5.98
1995-07,6.16
1995-08,6.07
1995-09,6.01
1995-10,5.81
1995-11,5.53
1995-12,5.38
1996-01,5.25
1996-02,5.73
1996-03,6.10
1996-04,6.40
1996-05,6.64
1996-06,6.47
1996-07,6.57
1996-08,6.73
1996-09,6.46
1996-10,6.10
1996-11,5.84
1996-12,6.21
1997-01,6.26
1997-02,6.39
1997-03,6.77
1997-04,6.57
1997-05,6.51
1997-06,6.40
1997-07,5.90
1997-08,6.22
1997-09,6.00
1997-10,5.72
1997-11,5.83
1997-12,5.71
1998-01,5.39
1998-02,5.59
1998-03,5.64
1998-04,5.65
1998-05,5.56
1998-06,5.47
1998-07,5.52
1998-08,4.91
1998-09,4.23
1998-10,4.24
1998-11,4.51
1998-12,4.56
1999-01,4.55
1999-02,5.21
1999-03,5.12
1999-04,5.24
1999-05,5.60
1999-06,5.67
1999-07,5.82
1999-08,5.88
1999-09,5.78
1999-10,5.97
1999-11,6.11
1999-12,6.36
2000-01,6.71
2000-02,6.61
2000-03,6.32
2000-04,6.56
2000-05,6.54
2000-06,6.18
2000-07,6.16
2000-08,5.98
2000-09,5.85
2000-10,5.83
2000-11,5.42
2000-12,4.99
2001-01,4.85
2001-02,4.70
2001-03,4.62
2001-04,4.97
2001-05,4.94
2001-06,4.97
2001-07,4.57
2001-08,4.46
2001-09,3.93
2001-10,3.66
2001-11,4.08
2001-12,4.38
2002-01,4.42
2002-02,4.27
2002-03,4.91
2002-04,4.53
2002-05,4.37
2002-06,4.09
2002-07,3.53
2002-08,3.22
2002-09,2.63
2002-10,2.81
2002-11,3.28
2002-12,2.78
2003-01,3.02
2003-02,2.69
2003-03,2.78
2003-04,2.85
2003-05,2.30
2003-06,2.46
2003-07,3.38
2003-08,3.46
2003-09,2.85
2003-10,3.27
2003-11,3.38
2003-12,3.25
2004-01,3.17
2004-02,3.01
2004-03,2.80
2004-04,3.63
2004-05,3.81
2004-06,3.81
2004-07,3.71
2004-08,3.33
2004-09,3.38
2004-10,3.30
2004-11,3.72
2004-12,3.63
2005-01,3.71
2005-02,4.00
2005-03,4.18
2005-04,3.90
2005-05,3.76
2005-06,3.72
2005-07,4.12
2005-08,3.87
2005-09,4.18
2005-10,4.45
2005-11,4.42
2005-12,4.35
2006-01,4.47
2006-02,4.61
2006-03,4.82
2006-04,4.92
2006-05,5.04
2006-06,5.10
2006-07,4.91
2006-08,4.70
2006-09,4.59
2006-10,4.57
2006-11,4.45
2006-12,4.70
2007-01,4.82
2007-02,4.52
2007-03,4.54
2007-04,4.51
2007-05,4.86
2007-06,4.92
2007-07,4.60
2007-08,4.25
2007-09,4.23
2007-10,4.16
2007-11,3.41
2007-12,3.45
2008-01,2.82
2008-02,2.50
2008-03,2.46
2008-04,3.03
2008-05,3.41
2008-06,3.34
2008-07,3.25
2008-08,3.10
2008-09,2.98
2008-10,2.80
2008-11,1.93
2008-12,1.55
2009-01,1.85
2009-02,1.99
2009-03,1.67
2009-04,2.02
2009-05,2.34
2009-06,2.54
2009-07,2.53
2009-08,2.39
2009-09,2.31
2009-10,2.31
2009-11,2.01
2009-12,2.69
2010-01,2.34
2010-02,2.30
2010-03,2.55
2010-04,2.43
2010-05,2.10
2010-06,1.79
2010-07,1.60
2010-08,1.33
2010-09,1.27
2010-10,1.17
2010-11,1.47
2010-12,2.01
2011-01,1.95
2011-02,2.13
2011-03,2.24
2011-04,1.97
2011-05,1.68
2011-06,1.76
2011-07,1.35
2011-08,0.96
2011-09,0.96
2011-10,0.99
2011-11,0.96
2011-12,0.83
2012-01,0.71
2012-02,0.87
2012-03,1.04
2012-04,0.82
2012-05,0.67
2012-06,0.72
2012-07,0.60
2012-08,0.59
2012-09,0.62
2012-10,0.72
2012-11,0.61
2012-12,0.72
2013-01,0.88
2013-02,0.77
2013-03,0.77
2013-04,0.68
2013-05,1.05
2013-06,1.41
2013-07,1.38
2013-08,1.62
